1st Target:,UB,UF,UL,LU,LF,LD,LB,FU,FR,FD,FL,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,"[U2 , R' E R]","[L' E' L , U2']]","[U2 , R E' R']",,"[L' E2' L , U2']","[M U' : [M , U2]]","[U2 , R E2 R']","[L' E L , U2']","[U2 , R E R']","[L E' L' , U2']",,"[U2 , R' E2 R]","[M' U : [M' , U2']]","[L E2' L' , U2']","[U : [M' , U2']]","[R2' , S]","[U' : [M , U2]","[S' , L2']"
LU,,,,,"[L' , U M' U']","[D : [S , R' F' R]]","[L , U' M U]",,"[U M U' , R]","[S , R' F' R]","[S , R' F2 R]","[U2' : [R' , U M U']]","[D' : [S , R' F' R]]","[L F2' L' , S']",,"[S , R B2 R']","[S , R B R']","[U M U' , R']","[L F L' , S']","[D' : [L F L' , S']]","[L' B' L , S']","[D : [L F L' , S']]"
LF,,,"[R' E R , U2]","[U' M U , L']",,"[l' , E R' E']","[S L : [S , L2']]",,"[U' : [R U R' , E]","[R' : [E , r U' r']]",,"[u R' U' R' : [E' , R2]]","[S , R F2' R']","[E' L : [S' , L2']]",,"[U : [L U L' , E']]","[r' : [E , R U R']]","[R' u' : [R U R' , E']]","[F , L' S' L]","[E' R' : [E' , R2]]","[l' : [S , R' F' R]]","[U' u' L' : [E' , L2]]"
LD,,,"[U2' , L' E' L]","[D : [R' F' R , S]]","[E R' E' , l']",,"[E' r E , L]",,"[R' , E' l' E]","[R2' : [S' , R F' R']]","[R' E R' : [S' , R2]]","[L E L' : [S' , L2]]","[U L F' L : [S , L2']]","[L' E' L : [S' , L2']]",,"[R E' R : [S' , R2']]","[M U' M' , D']","[D : [U M' U' , R']]","[L f L' : [S , L2]]","[U : [S , L' F' L]]","[L : [B' , L S' L']]",
LB,,,"[R E' R' , U2]","[U' M U , L]","[S L' : [S , L2]]","[L , E' r E]",,,"[R u : [R' U' R , E]]","[r : [E' , R' U' R]]","[U' : [L' U' L , E]]","[E L' : [S' , L2]]","[S , R' B2' R]","[u R U' R' : [E , R2]]",,,"[R : [E' , r' U r]]","[U : [R' U' R , E']]","[L2 : [F , L' S' L]]","[E R : [E , R2']]","[r M' : [E' , R' U' R]]","[U u L' : [E , L2]]"
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,"[U2' , L' E2' L]","[R , U' M' U]","[u' : [R U R' , E']]","[E' l' E , R']","[r , S' L S]",,,"[R , U M' U']","[U R' U' R' : [E , R2]]","[u : [R U' R' , E]]","[R U' : [R' U R , E]]",,,"[U R' U' R : [E' , R2']]","[R , U' M U]","[U2' R : [S , R2']]","[R , U' M2 U]","[E2' R' : [E' , R2]]","[R , U M2 U']","[U2' L' : [E' , L2]]"
FD,,,"[M U : [M , U2']]","[R' F' R , S]","[M' : [U' , r' E r]]","[R' : [F' , R' S' R]]","[M' : [U' , R E' R']]",,"[U M' U' , R]",,"[U : [M' , U L' U']]","[M' U : [L' E L , U]]","[R' F' R , S']","[M' U : [L E' L' , U]]",,"[R F' : [E' , R2']]","[d2 , M' U M]","[U M' U' , R']",,"[S' U : [M' , U2']]","[r : [M' , U' R' U]]","[L F L' : [S' , L2]]"
