Unnamed: 0,LD,LB,RB,RD,BL,BD,BR,DR,DB,DL
LD,,,,,,,,,,
LB,"[L2 : [U' M' U, L']]",,,,,,,,,
RB,"[L F : [E, L2]]","[F' : [R2, E']]",,,,,,,,
RD,"[R' F' R' : [S', R2]]","[R' F' : [R2, E']]","[R' : [U M' U', R']]",,,,,,,
BL,"[L f L : [S', L2]]",,"[E, L' D' L]","[M : [D', R' E' R]]",,,,,,
BD,"[D : [S', R F' R']]","[D L' D', M]","[D' R D, M]","[D' : [S, L' F L]]","[M', D' L' D]",,,,,
BR,"[S R' U : [M', U2]]","[E', R D R']",,"[R' f' R' : [S, R2]]","[R' D R' : [E', R2]]","[D R D', M']",,,,
DR,"[L' F L, S]","[R' E' R, D]","[D2 : [L E L', D]]",,"[L S2 L', D]","[D' : [S', R F' R']]","[D2 : [R' S2 R, D]]",,,
DB,"[S D : [S, L2]]","[D' : [R' E' R, D2]]","[D : [L E L', D2]]","[S' D' : [S', R2]]","[L D : [S, L2]]",,"[R' D' : [S', R2]]","[R2 D' : [S', R2]]",,
DL,,"[D2 : [R' E' R, D']]","[L E L', D']","[R F' R', S']","[D2 : [L S2 L', D']]","[D : [S, L' F L]]","[R' S2 R, D']","[F S' R : [E, R2]]","[L2 D : [L2, S]]",
