Unnamed: 0,LF,LD,LB,FD,FL,RB,RD,BL,BD,BR,DF,DR,DB,DL
LF,,,"[R' : [E' R' E, l2]]",,,,,,,,,,,
LD,"[l, S' R' S]",,,,,,,,,,,,,
LB,"[R' : [E R E', l2]]","[S' R' S, l']",,,,,,,,,,,,
FD,"[r U' r', E]","[L' E' L, D']","[r : [U', r E' r']]",,,,,,,,,,,
FL,,"[u' R : [S', R2]]","[L S' L', F2]","[r2 : [E2, r' U' r]]",,,,,,,,,,
RB,"[R' : [R' F2 R, S']]","[u : [l, S' R' S]]","[B2, R' S' R]","[E', r U' r']","[R S' R', F2]",,,,,,,,,
RD,"[L S L' : [E', L2]]","[S L' : [E', L2]]","[L' S L' : [E', L2]]","[D' : [L' E' L, D']]","[u L' : [S, L2]]","[R : [S, U R' U']]",,,,,,,,
BL,"[L' : [S', L' F2 L]]","[R E : [l', E R' E']]",,"[R2 F' : [R2, E']]","[L2, E']","[R : [R B2 R', S']]","[R u' R' : [U, R' E R]]",,,,,,,
BD,"[E', L D L']","[L' E' L, D]","[L' : [L' E' L, D]]","[D' : [L' E' L, D2]]","[r' U R : [E, R2]]","[R' : [R' B R, S]]","[D2 : [L' E' L, D']]","[r' U R' : [E', R2]]",,,,,,
BR,"[l : [E l E', R2]]","[S R : [S, R2]]","[l' : [E l E', R2]]","[M' U R : [S, R2]]","[E, R2]",,"[S R' : [S', R2]]","[R2, E']","[M U' R : [S, R2]]",,,,,
DF,"[E', l' U l]","[L F' L' U L' : [E', L2]]","[F' L' U L' : [E', L2]]",,"[R D R' : [E, R2]]","[R : [S, R F' R']]","[R' F' S R' : [S', R2]]","[R D R : [E', R2]]","[M', D R' D']","[D' R : [S', R2]]",,,,
DR,"[S l S', R']","[R, E' l' E]","[S l' S', R']","[R2 : [U M' U', R']]","[R U R' U' R' : [E, R2]]","[u : [R', S l S']]",,"[R U R' U' R : [E', R2]]","[R2 : [U' M U, R']]","[u2 L : [S, L2]]","[D' : [R S2 R', D']]",,,
DB,"[R' D' R, E]","[M' : [L' E' L, D']]","[l : [l E' l', U']]","[M, D' R' D]","[M u' R : [S, R2]]","[E, r' U r]","[l u R' : [E, R2]]","[R D' R : [E', R2]]",,"[D R : [S', R2]]","[R D' : [R2, S']]","[D2 : [R S2 R', D']]",,
DL,"[R' S' R' : [E, R2]]",,"[R' S' R : [E', R2]]","[M' U L' : [E', L2]]","[E R2 E', l']","[u' : [l', S' R S]]","[S, L' F2 L]","[R2 : [E' R2 E, l]]","[M U' L' : [E', L2]]","[R : [S', R2]]","[D', R S2 R']","[R', S R2 S]","[D, R S2 R']",
