Unnamed: 0,UBL,LUB,LDF,LDB,FDR,FDL,RDB,RDF,BUL,BDL,BDR,DFL,DFR,DBR,DBL
UBL,,,,,,,,,,,,,,,
LUB,,,,,,,,,,,,,,,
LDF,"[U : [R' D R, U]]","[U R' U : [D, R U' R']]",,,,,,,,,,,,,
LDB,"[R D' R', U]","[R U : [D', R' U' R]]","[U D R' : [F', R D' R' D]]",,,,,,,,,,,,
FDR,"[D : [R D R', U]]","[D R U : [D, R' U' R]]","[D : [D, R' U' R]]","[R D' : [R U R', D']]",,,,,,,,,,,
FDL,"[D' : [R D' R', U]]","[D' R U : [D', R' U' R]]",,"[U D : [D, R U R']]","[U R' : [F', R D' R' D]]",,,,,,,,,,
RDB,"[R D R', U]","[R U : [D, R' U' R]]","[D2, R' U' R]","[U' R D' : [R' U R, D2]]","[D, R' U' R]","[U R D : [D, R' U' R]]",,,,,,,,,
RDF,"[U : [R' D' R, U]]","[U R' U : [D', R U' R']]","[R' D : [R U R', D2]]","[U' D' : [R' U R, D2]]",,"[U : [D, R U R']]","[R U' : [R' U' R, D]]",,,,,,,,
BUL,,,"[l : [U2, R D' R']]","[D' R : [B2, R' D R D']]","[R' U : [R D R', U2]]","[D R' U D : [R D' R', U2]]","[l : [U2, R D R']]","[l U' : [R' D' R, U2]]",,,,,,,
BDL,"[D' : [R D R', U]]","[D' R U : [D, R' U' R]]","[D' : [D', R' U' R]]",,"[D : [R' U' R, D2]]","[D R' D' : [R U R', D2]]","[R' U' R, D']","[R' D' : [R U R', D']]","[R' U' : [R D' R', U2]]",,,,,,
BDR,"[D : [R D' R', U]]","[U R U' : [R' U R, D]]","[U' R' U : [R' D R, U]]","[U' : [D', R' U R]]","[D' R' D : [R U R', D2]]","[U D : [R U R', D2]]",,"[U' : [D, R' U R]]","[R : [R' D R D', B2]]","[R', U' L U]",,,,,
DFL,"[L2, D R2 D']","[U D' R U' : [R' U R, D']]",,"[D' R' : [R U' R' U, B2]]","[R' U D' : [R U' R', D2]]",,"[R' : [R' D R, U]]","[f' : [U, R' D' R]]","[R' : [R' D R, U2]]","[L', D R2 D']","[U D' R : [R D' R', U']]",,,,
DFR,"[D' L2 D, R2]","[R' U R : [D', R U' R']]","[R' D R : [R D' R', U']]","[U' R' : [D', R' U R]]",,"[U' R' : [D2, R' U R]]","[f : [R' U' R, D2]]",,"[D' R' : [R' D R, U2]]","[D' R' : [R' D R, U]]","[U' R' D : [U, R D' R']]","[R' U R : [D, R U' R']]",,,
DBR,"[R D' R' U R' D R, U]","[U D R U' : [R' U R, D']]","[D2 R' : [R' D R, U]]","[U R D' R' : [R' D R, U]]","[R' U R U : [R' D' R, U2]]","[U D R : [R D' R', U']]",,"[D R' : [R U' R' U, B2]]","[D R' U' D' : [R D R', U2]]","[R' U R : [R D' R', U2]]",,"[R2 : [R2 U R2 U' R2, D]]","[D, R2 U' R2 U R2]",,
DBL,"[D : [L2, D R2 D']]","[U R U' : [R' U R, D']]","[D R' U D' : [R U' R', D2]]",,"[D R' : [R' D R, U]]","[U : [L, D' R2 D]]","[R' D' : [U', R D R']]","[U R : [R D' R', U']]","[R' U' D' : [R D R', U2]]",,"[R' : [R U' R' U, B2]]","[R' U D : [R U' R', D]]","[U R2 : [D', R2 U' R2 U R2]]","[R2 U' R2 U R2, D']",
