Unnamed: 0,UBL,UBR,UFL,LUB,LUF,LDF,LDB,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL
UBL,,,,,,,,,,,,,,,,,,,,,
UBR,"[R' B' R : [R D R', U']]",,,,,,,,,,,,,,,,,,,,
UFL,"[R' D R U' : [U', R' D' R]]","[R' D R U : [R' D' R, U2]]",,,,,,,,,,,,,,,,,,,
LUB,,"[R : [U, R D R']]","[R U R' : [U2, R' D' R]]",,,,,,,,,,,,,,,,,,
LUF,"[f : [U2, R' D' R]]","[R' : [R' D' R, U']]",,"[L, U' R' U]",,,,,,,,,,,,,,,,,
LDF,"[R' D R, U2]","[R' D R, U]","[R' D R, U']","[U R' : [U', R' D R]]","[R' U' : [D, R U R']]",,,,,,,,,,,,,,,,
LDB,"[U' : [R D' R', U2]]","[U', R D' R']","[U' : [R D' R', U']]","[R D' : [R D R', U]]","[U' R U' : [D', R' U R]]","[D R' : [F', R D' R' D]]",,,,,,,,,,,,,,,
FUL,"[l' U D' : [R D R', U2]]","[R : [U2, R D R']]",,"[l' U : [R D' R', U2]]",,"[D R' : [F2, R D' R' D]]","[R U' D : [R' D R, U2]]",,,,,,,,,,,,,,
FDR,"[U' D : [R D R', U2]]","[D' : [R' D R, U]]","[D' : [R' D R, U']]","[R U R' : [R' D' R, U']]","[R : [F, R' U R U']]","[U : [D, R U' R']]","[U R U' : [R D' R', U']]","[R' : [R D' R' D, F2]]",,,,,,,,,,,,,
FDL,"[U' D' : [R D' R', U2]]","[D : [R' D' R, U]]","[D : [R' D' R, U']]","[R U : [R' D R, U]]","[D R' U' : [D', R U R']]",,"[D : [D, R U R']]","[R U : [R' D R, U2]]","[R' : [F', R D' R' D]]",,,,,,,,,,,,
RUB,"[R' U D R : [R U' R', D']]",,"[U' R' : [U2, R' D' R]]","[R : [R2 D R2 D' R2, U]]","[f' U : [R' D R, U2]]","[U R U : [R' D R, U2]]","[U R : [R D' R', U2]]","[R' : [U', R2 D' R2 D R2]]","[U' R' U : [R D R', U2]]","[f' U : [R' D' R, U2]]",,,,,,,,,,,
RDB,"[U' : [R D R', U2]]","[U', R D R']","[U' : [R D R', U']]","[U' R : [R U' R', D']]","[D' R : [F, R' U R U']]","[U D : [R U' R', D2]]","[R D' : [R' U' R, D2]]","[R U D' : [R' D R, U2]]","[U : [R U' R', D']]","[R D : [D, R' U' R]]","[U R U' : [R' D' R, U2]]",,,,,,,,,,
RDF,"[R' D' R, U2]","[R' D' R, U]","[R' D' R, U']","[U' R U' R' : [R' D' R, U]]","[R' U' : [D', R U R']]","[U R' D : [R U' R', D2]]","[D2, R U R']","[D R U : [R' D' R, U2]]",,"[D, R U R']","[U' R' U' D : [R D' R', U2]]","[R' U : [D', R U R']]",,,,,,,,,
BUR,"[R' U D : [R D R', U2]]",,"[R' D' : [U', R' D R]]","[U R' : [U', R' D' R]]","[R', U L U']","[R' U : [R U' R', D]]","[U' L U, R]","[R U D' : [R' D' R, U2]]","[D' R' U : [R U' R', D]]","[U R' U' : [D, R U R']]",,"[U' R U : [R' U' R, D]]","[R' U : [R U' R', D']]",,,,,,,,
BUL,,"[R' : [R' D' R, U2]]","[U' R' : [U', R' D' R]]",,"[R B' R', F]","[R' D : [R' U R, D]]","[U' f : [U', R D' R']]","[R U R' U D : [R D R', U2]]","[l D' : [U', R' D R]]","[D R' : [D, R' U R]]","[U R : [U2, R D R']]","[R' U : [R' D' R, U]]","[R B' R', F']","[R, U' L' U]",,,,,,,
BDL,"[U' D' : [R D R', U2]]","[D : [R' D R, U]]","[D : [R' D R, U']]","[U D R' : [U', R' D R]]","[R' U' : [D2, R U R']]","[U D : [R U' R', D]]",,"[D R' D : [F2, D' R D R']]","[U' D : [R' U' R, D2]]","[D' R D' : [R' U' R, D2]]","[f' : [U2, R D' R']]","[U' : [R' U' R, D']]","[U' R' D' : [R U R', D']]","[U' D' R U : [D, R' U' R]]","[R' D' : [R' U R, D2]]",,,,,,
