first/last,FD,FL,DF,DR,DB,DL,RB,RD,LB,LF,LD,BD,BR,BL,,,,
FD,,"[r : [U', r E2 r']]",,"[R : [U M' U', R]]","[D' R' D, M]","[M' U L : [E', L2]]","[F', R S' R']","[S' : [R, U M' U']]","[r : [U', r E' r']]","[r U' r', E]","[L' E' L, D']","[D' : [L' E' L, D2]]","[M' U R' : [S, R2]]","[R2' F' : [E', R2]]",,PROGRESS (168 TOTAL),168,
FL,"[r : [r E2 r', U']]",,"[R D R : [E, R2]]","[R U R' U' R : [E, R2]]","[R D' R : [E, R2]]","[L' U' L U L : [E', L2]]","[F2, R S' R']","[u L : [S', L2]]","[L' S L, F2]",,"[u' R : [S', R2]]","[r' U R' : [E, R2]]","[R2, E]","[E', L2]",,,,
DF,,"[R D R' : [E, R2]]",,"[R : [U' M2 U, R]]","[R D : [R2, S']]","[M2 U' L : [E', L2]]","[R' : [S', R' F' R]]","[l' U'E' R' : [E, R2]]","[F' R' U' R' : [E', R2]]","[E', l' U l]","[L F' L' U L' : [E', L2]]","[M', D R' D']","[D' R : [S', R2]]","[F' R : [R E' R', U']]",,comms w/ RS 4 mover,18,0.1071428571
DR,"[R : [R, U M' U']]","[R U R' U' R' : [E, R2]]","[R : [R, U' M2 U]]",,"[R : [U M2 U', R]]","[r U2' L' : [E', L2]]","[R' : [U' R U, S]]",,"[R u R' : [U', R' E R]]","[S L S', r']","[r, E' L' E]","[R : [R, U' M U]]","[u2 L : [S, L2]]","[R U R' U' R : [E', R2]]",,comms w/ LS 4 mover,6,0.03571428571
DB,"[Rr : [U' R' U, M']]","[R D' R' : [E, R2]]","[R D : [S', R2]]","[R : [R, U M2 U']]",,"[M2 U L : [E', L2]]","[E, r' U r]","[l u R' : [E, R2]]","[l : [l E' l', U']]","[R' D' R, E]","[S D L' : [E', L2]]",,"[D R : [S', R2]]","[R D' R : [E', R2]]",,comms w/ LE 4 mover,30,0.1785714286
DL,"[M' U L' : [E', L2]]","[L' U' L U L' : [E', L2]]","[M2 U' L' : [E', L2]]","[r U2' L : [E', L2]]","[M2 U L' : [E', L2]]",,"[L' B L U' L' : [E', L2]]","[S, L' F2 L]","[R' S' R : [E', R2]]","[R' S' R' : [E, R2]]",,"[M U' L' : [E', L2]]","[R : [S', R2]]","[L U' L' U L' : [E', L2]]",,comms w/ RE 4 mover,34,0.2023809524
RB,"[R S' R', F']","[R S' R', F2]","[R' : [R' F' R, S']]","[R' : [S, U' R U]]","[B, R S R']","[L' B L U' L : [E', L2]]",,"[R : [U' R' U, S]]","[B2, R' S' R]","[R' : [R' F2 R, S']]","[L F' L' U L : [E, L2]]","[R' : [S, R' B R]]",,"[R : [S', R B2 R']]",,comms w/ MU 4 mover,0,0
RD,"[S' : [U M' U', R]]","[u L' : [S', L2]]","[l' U'E' R : [E, R2]]",,"[l u R : [E, R2]]","[L' F2 L, S]","[R : [S, U' R' U]]",,"[L' S L' : [E', L2]]","[L S L' : [E', L2]]","[S L' : [E', L2]]","[S' : [U' M U, R]]","[S R : [S', R2]]","[R u' R' : [R' E R, U]]",,comms w/ MD 4 mover,0,0
LB,"[r : [r E' r', U']]","[F2, L' S L]","[F' R' U' R : [E', R2]]","[R u R' : [R' E R, U']]","[l : [U', l E' l']]","[R' S' R' : [E', R2]]","[R' S' R, B2]","[L' S L : [E', L2]]",,"[r S L' : [S', L2]]","[S' R' S, l']","[L' : [D, L' E' L]]","[R E R : [E, R2]]",,,comms w/ Mu 4 mover,0,0
LF,"[E, r U' r']",,"[l' U l, E']","[r', S L S']","[E, R' D' R]","[R' S' R : [E, R2]]","[R' : [S', R' F2 R]]","[L S L : [E', L2]]","[r S L : [S', L2]]",,"[S' R' S, l]","[L D L', E']","[R E' R' : [E', R2]]","[L : [L F2 L', S]]",,total w/ 4 movers,88,0.5238095238
LD,"[D', L' E' L]","[u' R' : [S', R2]]","[L F' L' U L : [E', L2]]","[E' L' E, r]","[S D L : [E', L2]]",,"[L F' L' U L' : [E, L2]]","[S L : [E', L2]]","[l', S' R' S]","[l, S' R' S]",,"[D, L' E' L]","[S R' : [S, R2]]","[L u' L' : [U, L' E L]]",,U perm variants,0,0
BD,"[D : [L' E' L, D2]]","[r' U R : [E, R2]]","[M : [M, U R U']]","[R : [U' M U, R]]",,"[M U' L : [E', L2]]","[R' : [R' B R, S]]","[S' : [R, U' M U]]","[L' : [L' E' L, D]]","[E', L D L']","[L' E' L, D]",,"[l U' R : [S, R2]]","[r' U R' : [E', R2]]",,total E comms,97,0.5773809524
BR,"[M' U R : [S, R2]]","[E, R2]","[D' R' : [S', R2]]","[u2 L' : [S, L2]]","[D R' : [S', R2]]","[R' : [S', R2]]",,"[S R' : [S', R2]]","[R E R' : [E, R2]]","[R E' R : [E', R2]]","[S R : [S, R2]]","[l U' R' : [S, R2]]",,"[R2, E']",,total S comms,71,0.4226190476
BL,"[R2' F' : [R2, E']]","[L2, E']","[F' R : [U', R E' R']]","[R U R' U' R' : [E', R2]]","[R D' R' : [E', R2]]","[L U' L' U L : [E', L2]]","[R : [R B2 R', S']]","[R u' R' : [U, R' E R]]",,"[L : [S, L F2 L']]","[L u' L' : [L' E L, U]]","[r' U R : [E', R2]]","[E', R2]",,,total M comms,26,0.1547619048
