first/last,UR,UL,FR,FD,FL,DF,DR,DB,DL,RB,RD,RF,RU,LB,LU,LF,LD,BD,BR,BL,,,,
UR,,"[M2 U : [M', U2]]","[E' : [R' E R, U]]",(M' U M U)2,"[R E2 R', U]","[R U R' U', M2]","[R' U' R : [S, R2]]","[U', M' U2 M']",L' U' L U L U L U' L' U',"[U' : [U', L' E L]]","[R E R', U]","[U' : [U', L E' L']]",,"[R E' R', U]","[S, L' U L]","[R' E R, U]","[U' : [U', L' E' L]]","[R' U R U', M]","[E : [R E' R', U]]","[R' E2 R, U]",,PROGRESS (360 TOTAL),360,
UL,"[M2 U' : [M', U2]]",,"[R' S2 R, U']",(M' U' M U')2,"[E : [L E' L', U']]","[L' U' L U, M2]",R U R' U' R' U' R' U R U,"[U, M' U2 M']","[L' U L : [S', L2]]","[L' E L, U']","[U : [U, R E R']]","[L E' L', U']","[S', R U' R']","[U : [U, R E' R']]",,"[U : [U, R' E R]]","[L' E' L, U']","[L U' L' U, M]","[L E2' L', U']","[E' : [L' E L, U']]",,,,
FR,"[E' : [U, R' E R]]","[U', R' S2 R]",,"[U : [R, U M' U']]","[R' U R' : [E, R2]]","[U'D' L' : [E', L2]]",R U' R' U' R' U' R U R U,"[U'D L' : [E', L2]]","[U' L' : [E', L2]]","[E', R U R']","[S U' L' : [E', L2]]",,"[R' u R' : [E, R2]]","[R : [R E' R', U]]","[S' U' L' : [E', L2]]","[E, R U R']","[L' E' : [L U' L', E']]","[U R U', M]","[U' R : [S, R2]]","[R' U R : [E', R2]]",,comms w/ RS 4 mover,23,0.06388888889
FD,(U' M' U' M)2,(U M' U M)2,"[U : [U M' U', R]]",,"[U' : [U' M' U, L']]",,"[U' R' F' R : [S, R2]]","[D : [S', R' B' R]]","[U L F L' : [S', L2]]","[U' M' : [U, L' E L]]",(M' D M D)2,"[U' M' : [U, l E' l']]",[M : (U M U M')2],"[U M' : [U', R E' R']]",[U' M : u M' u2 M' u],"[U M' : [U', r' E r]]",(M' D' M D')2,U M U' M' U2 M' U M U,"[U : [U M' U', R']]","[U' : [U' M' U, L]]",,comms w/ LS 4 mover,12,0.03333333333
FL,"[U, R E2 R']","[E : [U', L E' L']]","[R' U R : [E, R2]]","[U' : [L', U' M' U]]",,"[UD R : [E, R2]]","[U R : [E, R2]]","[UD' R : [E, R2]]",L' U L U L U L' U' L' U',"[L' : [L' E L, U']]","[R E : [R' U R, E]]","[E', L' U' L]","[S U R : [E, R2]]","[E, L' U' L]","[L u' L : [E', L2]]",,"[S' U R : [E, R2]]","[U' L' U, M]","[R U R : [E, R2]]","[U L' : [S', L2]]",,comms w/ LE 4 mover,31,0.08611111111
DF,"[M2, R U R' U']",U' D R' U' R U R U R U' R' D',"[U'D' L : [E', L2]]",,"[UD R' : [E, R2]]",,"[U R' D' R : [S', R2]]",u2 M u2 M,"[L' UD R' : [E, R2]]","[M' : [U' R' U, M2]]","[U : [S, R F' R']]","[M' : [U' R U, M2]]","[M' : [R U' R' U, M2]]","[M' : [U L U', M2]]","[M' : [L' U L U', M2]]","[M' : [U L' U', M2]]","[U' : [S', L' F L]]","[D' : [R' B' R, S']]","[U'D' L' : [E, R2]]","[UD R : [E', R2]]",,comms w/ RE 4 mover,51,0.1416666667
DR,"[R' U' R' : [S, R2]]",U' R' U' R U R U R U' R',U' R' U' R' U R U R U R',"[U' R' F' R' : [S, R2]]","[U R' : [E, R2]]","[U R' D' R' : [S', R2]]",,"[U R' D R' : [S', R2]]","[U : [R2, S']]","[UE R : [E', R2]]",,"[u R' : [E, R2]]","[R B' R', S']","[UE R' : [E, R2]]","[r' : [U, L' E L]]","[u R : [E', R2]]","[L B L', S]","[U R2 U', M]",U' R U R U' R' U' R' U' R U2,"[U R : [E', R2]]",,comms w/ MU 4 mover,13,0.03611111111
DB,"[M' U2 M', U']","[M' U2 M', U]","[U'D L : [E', L2]]","[D : [R' B' R, S']]","[UD' R' : [E, R2]]",M' u2 M' u2,"[U R' D R : [S', R2]]",,R' D' R2 b2 R2' D' R2 b2 R',"[R2' B' : [R2, E']]","[U : [S, R' B R]]","[r' U' : [R2, S]]",[M' : u' M' u2 M' u'],[r2' F : r2 E r2' E],[M' : u M' u2 M' u],"[l U : [L2, S']]","[U' : [S', L B' L']]",,"[U'D L' : [E, L2]]","[UD' R : [E', R2]]",,comms w/ MD 4 mover,0,0
DL,U L U L' U' L' U' L' U L,"[L U L : [S', L2]]","[U' L : [E', L2]]","[U L F L : [S', L2]]",U L U L U' L' U' L' U' L,"[L' UD R : [E, R2]]","[U : [S', R2]]",R b2 R2' D R2 b2 R2' D R,,"[U'E' L : [E', L2]]","[R' B' R, S']","[u' L' : [E, L2]]","[l : [U', R E' R']]","[U'E' L' : [E, L2]]","[L' B L, S]","[u' L : [E', L2]]",,"[U' S U' : [M, U2]]","[U' L' : [E, L2]]",U L' U' L' U L U L U L' U2,,comms w/ Mu 4 mover,8,0.02222222222
RB,"[U' : [L' E L, U']]","[U', L' E L]","[R U R', E']","[U' M' : [L' E L, U]]","[L' : [U', L' E L]]","[M : [U' R' U, M2]]","[UE R' : [E', R2]]","[R2' B' : [E', R2]]","[U'E' L' : [E', L2]]",,"[U S U', R]","[M U R' : [S, R2]]","[S' : [U', L' E L]]","[U'E' R : [S, R2]]","[M' R' U' : [M, U2]]","[l U L : [E, L2]]","[S : [U', L' E L]]","[M : [U' R' U, M]]",,"[L U' L', E]",,total w/ 4 movers,138,0.3833333333
RD,"[U, R E R']","[U : [R E R', U]]","[S U' L : [E', L2]]",(D' M' D' M)2,"[R E : [E, R' U R]]","[U : [R F' R', S]]",,"[U : [R' B R, S]]","[S', R' B' R]","[R, D M' D']",,"[R', U S U']","[r' U R' : [S, R2]]","[S : [R E' R', U]]","[l U' R' : [E, R2]]","[S' : [R' E R, U]]","[R B' R' : [R2, S']]","[M', R D' R' D]","[R u R : [E, R2]]","[R' E' : [E', R U R']]",,U perm variants,12,0.03333333333
RF,"[U' : [L E' L', U']]","[U', L E' L']",,"[U' M' : [l E' l', U]]","[L' U' L, E']","[M : [U' R U, M2]]","[u R : [E, R2]]","[r' U' : [S, R2]]","[u' L : [E, L2]]","[M U R : [S, R2]]","[D M' D', R']",,"[S' : [U', L E' L']]","[r' U' R : [E', R2]]","[r U' : [M, U2]]","[u' R' : [S, R2]]","[S : [U', L E' L']]","[U' M : [L E' L', U']]","[R' U R, E]","[L : [U', L E' L']]",,total S comms,96,0.2666666667
RU,,"[R U' R', S']","[R' u R : [E, R2]]",[M : (M U' M' U')2],"[M : [R' E R, U']]","[M : [R U' R' U, M2]]","[S', R B' R']",[M' : u M u2 M u],"[l : [R E' R', U']]","[S' : [L' E L, U']]","[r' U R : [S, R2]]","[S' : [L E' L', U']]",,"[M' L U' : [M', U2]]","[M' U' : [M, U2]]","[l U' : [M, U2]]","[r' U L' : [E', L2]]","[r' : [U' R U, M]]","[R UE R' : [E', R2]]","[S U R : [E', R2]]",,total E comms,178,0.4944444444
LB,"[U, R E' R']","[U : [R E' R', U]]","[R : [U, R E' R']]",[l : (M U M' U)2],"[L' U' L, E]","[M : [U L U', M2]]","[UE R : [E, R2]]",[r2' F' : r2 E r2' E],"[U'E' L : [E, L2]]","[U'E' R' : [S, R2]]","[S' : [U, R E' R']]","[r' U' R' : [E', R2]]","[M' L U : [M, U2]]",,"[S : [U, R E' R']]","[r' U' L : [S', L2]]","[U' S' U, L']","[M : [U L U', M]]","[R' U R, E']",,,total M comms,100,0.2777777778
LU,"[L' U L, S]",,"[M : [L E' L', U]]",[M : (M U M' U)2],"[L u' L' : [E', L2]]","[M : [L' U L U', M2]]","[r' : [L' E L, U]]",[M' : u' M u2 M u'],"[S, L' B L]","[M' R' U : [M, U2]]","[l U' R : [E, R2]]","[r U : [M, U2]]","[M' U : [M, U2]]","[S : [R E' R', U]]",,"[S : [R' E R, U]]","[l U' L' : [S', L2]]","[l : [U L' U', M]]","[S' U' L' : [E, L2]]","[L' U'E' L : [E, L2]]",,total combined slice comms,14,0.03888888889
LF,"[U, R' E R]","[U : [R' E R, U]]","[R U R', E]",[L : (D M' D M)2],,"[M : [U L' U', M2]]","[u R' : [E', R2]]","[l U : [S', L2]]","[u' L' : [E', L2]]","[l U L' : [E, L2]]","[S' : [U, R' E R]]","[u' R : [S, R2]]","[l U : [M, U2]]","[r' U' L' : [S', L2]]","[S : [U, R' E R]]",,"[D' M' D, L]","[U M : [R' E R, U]]","[R' : [U, R' E R]]","[L U' L', E']",,,,
LD,"[U' : [L' E' L, U']]","[U', L' E' L]","[L' E' : [E', L U' L']]",(D M' D M)2,"[S' U R' : [E, R2]]","[U' : [L' F L, S']]","[S, L B L']","[U' : [L B' L', S']]",,"[S : [L' E L, U']]","[R B' R' : [S', R2]]","[S : [L E' L', U']]","[r' U L : [E', L2]]","[L', D' M' D]","[l U' L : [S', L2]]","[L, U' S' U]",,"[U' : [R' D R, S']]","[L E : [E, L' U' L]]","[S' U R : [E', R2]]",,,,
BD,"[M, R' U R U']","[M, L U' L' U]","[M, U R U']",U M' U M U2 M U' M' U,"[M, U' L' U]","[D' : [S', R' B' R]]","[M, U R2 U']",,"[U' S U : [M, U2]]","[M : [M, U' R' U]]","[R D' R' D, M']","[U' M : [U', L E' L']]","[r' : [M, U' R U]]","[M : [M, U L U']]","[l : [M, U L' U']]","[U M : [U, R' E R]]","[U' : [S', R' D R]]",,"[M, U R' U']","[M, U' L U]",,,,
BR,"[E : [U, R E' R']]","[U', L E2' L']","[U' R' : [S, R2]]","[U : [R', U M' U']]","[R U R' : [E, R2]]","[U'D' L : [E, R2]]",U2 R' U R U R U R' U' R' U,"[U'D L : [E, L2]]","[U' L : [E, L2]]",,"[R u R' : [E, R2]]","[E, R' U R]","[R UE R : [E', R2]]","[E', R' U R]","[S' U' L : [E, L2]]","[R' : [R' E R, U]]","[L E : [L' U' L, E]]","[U R' U', M]",,"[R U R : [E', R2]]",,,,
BL,"[U, R' E2 R]","[E' : [U', L' E L]]","[R' U R' : [E', R2]]","[U' : [L, U' M' U]]","[U L : [S', L2]]","[UD R' : [E', R2]]","[U R' : [E', R2]]","[UD' R' : [E', R2]]",U2 L U' L' U' L' U' L U L U',"[E, L U' L']","[R' E' : [R U R', E']]","[L : [L E' L', U']]","[S U R' : [E', R2]]",,"[L' U'E' L' : [E, L2]]","[E', L U' L']","[S' U R' : [E', R2]]","[U' L U, M]","[R U R' : [E', R2]]",,,,,
