first/last,FDR,FDL,DFL,DFR,DBR,DBL,RDB,RDF,LDB,LDF,BDL,BDR,,PARITY:,,,
FDR,,"[R D'U' : [R D' R', U2]]","[U R' UD : [R U' R', D2]]",,"[R U'D : [R D R', U2]]","[UD R' : [U, R' D R]]","[U : [R' U' R, D]]",,"[R U' : [R D' R', U2]]","[U' : [D, R U' R']]","[UD' : [R' U' R, D2]]","[D R D' : [R' U R, D2]]",,U' R U' R U R' F' R U R' U' R' F R2 U' R2' U,,PROGRESS (108 TOTAL):,108
FDL,"[R D'U : [R D' R', U2]]",,,"[R' : [R' U R, D2]]","[D' R' : [R' U R, D']]","[D' R2 U : [R D' R', U2]]","[R D : [R' U R, D]]","[D : [R' U R, D]]","[D' : [R' U R, D']]",,"[D' R D : [R' U R, D2]]","[R' U R, D2]",,D R' F R2 U' R' U' R U R' F' R U R' U'D',,,
DFL,"[U R' UD' : [R U' R', D2]]",,,"[R U R' : [R' D R, U']]","[D' R UD R' : [R' D R, U']]","[D R U R' : [U', R' D R]]","[U R' : [R' D R, U]]","[f' : [U2, R' D' R]]","[D R' : [D2, R' U R]]",,"[UD R' D : [R' D R, U]]",r2' D R' D' r2 U R U',,U x U2' R2' F R F' R U2' r' U L U',,,
DFR,,"[R' : [D2, R' U R]]","[R U R' : [U', R' D R]]",,"[D' R U R' : [R' D R, U']]","[R UD R' : [U', R' D R]]","[D R UD' : [R' U' R, D2]]",,"[R' : [D', R' U R]]","[U R' D R : [R D' R', U']]","[UD' R' : [R' D R, U]]","[R' D : [U, R D' R']]",,U' D R2 U' R2 U R2 D' R2 U R2 U' R2,,,
DBR,"[R UD : [R D R', U2]]","[D' R' : [D', R' U R]]","[D' R UD R' : [U', R' D R]]","[D' R U R' : [U', R' D R]]",,"[R UD R' : [U, R' D R]]",,"[R U'D' R' : [U', R' D R]]","[R2 U' : [R D' R', U2]]","[U' R : [D, R U' R']]","[R UD' : [R' U' R, D2]]",,,U' R2 U' R2 U R2 D' R2 U R2 U' R2 D,,,
DBL,"[UD R' : [R' D R, U]]","[D' R2 U' : [R D' R', U2]]","[D R U R' : [R' D R, U']]","[R UD R' : [R' D R, U']]","[R UD R' : [R' D R, U]]",,U'D' R' D r2 U' R U r2' U,"[U2 R : [R D' R', U']]",,"[D' R UD' : [R' U' R, D2]]",,"[U R' : [R U' R' U, B2]]",,U'D' R2' U' R U R' F' R U R' U' R' F R2 U' R UD,,,
RDB,"[U : [D, R' U' R]]","[R D : [D, R' U R]]","[U R' : [U, R' D R]]","[D R UD : [R' U' R, D2]]",,U' r2 U' R' U r2' D' R DU,,"[f' U : [R D R', U2]]","[R D' : [R' U R, D2]]","[U'D : [R U' R', D2]]","[U : [D', R' U' R]]",,,R2 U' R' U' R U R' F' R U R' U' R' F,,,
RDF,,"[D : [D, R' U R]]","[f' : [R' D' R, U2]]",,"[R U'D' R' : [R' D R, U']]","[U2 R : [U', R D' R']]","[f' U' : [R D R', U2]]",,"[D' : [R' U R, D2]]","[R U' R' : [R' D R, U']]","[R U'D R' : [R' D R, U']]","[R' U R, D]",,R' F R2 U' R' U' R U R' F' R U R' U',,,
LDB,"[R U : [R D' R', U2]]","[D' : [D', R' U R]]","[D R' : [R' U R, D2]]","[R' : [R' U R, D']]","[R D' R' U : [R' D R, U]]",,"[R D : [R' U R, D2]]","[D : [R' U R, D2]]",,"[U'D R D : [U', R' D' R]]",,"[R' U R, D']",,D2 R' F R2 U' R' U' R U R' F' R U R' U'D2,,,
LDF,"[U' : [R U' R', D]]",,,"[U R' D R : [U', R D' R']]","[U' R : [R U' R', D]]","[D' R UD : [R' U' R, D2]]","[U'D' : [R U' R', D2]]","[R U' R' : [U', R' D R]]","[U'D R D : [R' D' R, U']]",,"[U'D : [D, R U' R']]","[R' U : [U, R' D R]]",,U'D R U' R U R' F' R U R' U' R' F R2 U' R2' UD',,,
BDL,"[UD : [R' U' R, D2]]","[D' R D' : [R' U R, D2]]","[UD R' D : [U, R' D R]]","[UD' R' : [U, R' D R]]","[R UD : [R' U' R, D2]]",,"[U : [R' U' R, D']]","[R U'D R' : [U', R' D R]]",,"[U'D : [R U' R', D]]",,"[L, U R' U']",,D' R2 U' R' U' R U R' F' R U R' U' R' F D,,,
BDR,"[D R D : [R' U R, D2]]","[D2, R' U R]",U R' U' r2 D R D' r2',"[R' D : [R D' R', U]]",,"[U R' : [B2, R U' R' U]]",,"[D, R' U R]","[D', R' U R]","[R' U : [R' D R, U]]","[U R' U', L]",,,D' R' F R2 U' R' U' R U R' F' R U R' U'D,,,
