first/last,UBL,FDR,FDL,DFL,DFR,DBR,DBL,RDB,RDF,LDB,LUB,LDF,BDL,BDR,BUL,,PARITY:,,,
UBL,,"[D : [U, R D R']]","[U, R D2 R']",r' D R' D' r2 U R U' r',"[R' D R : [U, R D' R']]","[D' R' D R : [U, R D' R']]",[D : r' D R' D' r2 U R U' r'],"[U, R D R']","[U : [U, R' D' R]]","[U, R D' R']",,"[U : [U, R' D R]]","[D' : [U, R D R']]","[D : [U, R D' R']]",,,U R U R' F' R U R' U' R' F R2 U' R' U2,,PROGRESS (180 TOTAL):,180
FDR,"[D : [R D R', U]]",,"[U R' : [R D' R' D, F']]","[R' UD : [R U' R', D2]]",,"[R' U R U' : [R' D' R, U2]]","[D R' : [U, R' D R]]","[R' U' R, D]",,"[R U : [R' U2 R, D']]","[D R U : [D, R' U' R]]","[D : [D, R' U' R]]","[D' : [R' U' R, D2]]","[D' R' D' : [R U R', D2]]","[R' U' : [R D R', U2]]",,U'D R2 U' R' U' R U R' F' R U R' U' R' F UD',,,
FDL,"[R D2 R', U]","[U R' : [F', R D' R' D]]",,,"[U' R' : [R' U R, D2]]","[UD R : [U', R D' R']]","[UD R D : [R' D' R, U]]","[U R D : [R' U' R, D]]","[U : [R U R', D]]","[D, L' U2 L]","[D' R U : [D', R' U' R]]",,"[D R' D : [R U R', D2]]","[UD' : [R U R', D2]]","[D R' DU' : [R D' R', U2]]",,U'D R' F R2 U' R' U' R U R' F' R U R' D',,,
DFL,r U R' U' r2' D R D' r,"[R' UD' : [R U' R', D2]]",,,"[R' F' : [D', R U' R']]","[R' U R U' : [R' D R, U2]]","[R' UD : [D, R U' R']]","[R' : [R' D R, U]]","[f' : [U, R' D' R]]","[UD' R U'D : [R' U R, D2]]","[UD' R U' : [R' U R, D']]",,"[D' R' D : [R' D R, U]]","[UD' R : [R D' R', U']]","[R' : [R' D R, U2]]",,x U2' R2' F R F' R U2' r' U L,,,
DFR,"[R' D R : [R D' R', U]]",,"[U' R' : [D2, R' U R]]","[R' F' : [R U' R', D']]",,"[R2' U' R2 U R2', D]","[U' R UD R' : [U', R' D R]]","[R : [D', R2 U R2 U' R2]]",,"[U' R' : [D', R' U R]]","[R2, U' L' U]","[R' D R : [R D' R', U']]","[D' R' : [R' D R, U]]","[U' R' D : [U, R D' R']]","[D' R' : [R' D R, U2]]",,D' x U2' R2' F R F' R U2' r' U L D,,,
DBR,"[D' R' D R : [R D' R', U]]","[R' U R U : [R' D' R, U2]]","[UD R : [R D' R', U']]","[R' U R U : [R' D R, U2]]","[D, R2' U' R2 U R2']",,"[D', R2' U' R2 U R2']",,"[R' UD R : [R D R', U2]]","[U R D' R' : [R' D R, U]]","[UD R U' : [R' U R, D']]","[D2 R' : [R' D R, U]]","[R' U R : [R D' R', U2]]",,"[D R' D'U' : [R D R', U2]]",,U2 R2 U' R2 U R2 D' R2 U R2 U' R2 U D,,,
DBL,[D : r U R' U' r2' D R D' r],"[D R' : [R' D R, U]]","[UD R D : [U, R' D' R]]","[R' UD : [R U' R', D]]","[U' R UD R' : [R' D R, U']]","[R2' U' R2 U R2', D']",,"[R' D : [R' D R, U]]","[U R : [R D' R', U']]",,"[U R U' : [R' U R, D']]","[D R' UD' : [R U' R', D2]]",,"[R' : [R U' R' U, B2]]","[R' D'U' : [R D R', U2]]",,D x U2' R2' F R F' R U2' r' U L D',,,
RDB,"[R D R', U]","[D, R' U' R]","[U R D : [D, R' U' R]]","[R' : [U, R' D R]]","[R : [R2 U R2 U' R2, D']]",,"[R' D : [U, R' D R]]",,"[R' D : [R D' R', U']]","[U R D' : [R' U' R, D2]]","[R U : [D, R' U' R]]","[D2, R' U' R]","[D', R' U' R]",,"[D R' U' : [R D' R', U2]]",,U' R2 U' R' U' R U R' F' R U R' U' R' F U,,,
RDF,"[U : [R' D' R, U]]",,"[U : [D, R U R']]","[f' : [R' D' R, U]]",,"[R' UD R : [U2, R D R']]","[U R : [U', R D' R']]","[R' D : [U', R D' R']]",,"[U'D' : [R' U R, D2]]","[R U : [R D R', U2]]","[R' D : [R U R', D2]]","[R' D' : [D', R U R']]","[U : [D', R U R']]","[R' DU' : [R D' R', U2]]",,U' R' F R2 U' R' U' R U R' F' R U R',,,
LDB,"[R D' R', U]","[R U : [D', R' U2 R]]","[UD : [R U R', D]]","[UD' R U'D' : [R' U R, D2]]","[U' R' : [R' U R, D']]","[U R D' R' : [U, R' D R]]",,"[U R D : [R' U' R, D2]]","[U'D : [R' U R, D2]]",,"[R U : [D', R' U' R]]","[UD R' : [F', R D' R' D]]",,"[U' : [R' U R, D']]","[U2' R : [U2, R D' R']]",,U'D2 R' F R2 U' R' U' R U R' F' R U R' D2,,,
