first/last,UB,UR,UL,FR,FD,FL,DF,DR,DB,DL,RB,RD,RF,RU,LB,LU,LF,LD,BD,BR,BU,BL,,,,
UB,,"[R2 U' : [R2, S]]","[U' M2 U' : [M, U2]]","[R' U' : [R2, S]]","[U M U : [M, U2]]","[U : [R E2 R', U2]]","[M', U2]","[U' : [R2, S]]","[U2, M]","[U : [L2, S']]","[U' : [L' E L, U2]]","[U : [R E R', U2]]","[U' : [L E' L', U2]]","[S U' : [R2, S]]","[U : [R E' R', U2]]","[U' M U : [M', U2]]","[U : [R' E R, U2]]","[U' : [L' E' L, U2]]","[U' M' U : [M', U2]]","[R U' : [R2, S]]",,"[U : [R' E2 R, U2]]",,PROGRESS (440 TOTAL):,440,
UR,"[R2 U' : [S, R2]]",,"[M2 U' : [M, U2]]","[E' : [R' E R, U']]","[R U' R' U, M']","[R E2 R', U']","[U, M U2 M]","[R U R' : [S, R2]]","[R U' R' U, M2]",L U L' U' L' U' L' U L U,"[U : [U, L' E L]]","[R E R', U']","[U : [U, L E' L']]",,"[R E' R', U']","[L F' L', S']","[R' E R, U']","[U : [U, L' E' L]]",(M U' M' U')2,"[E : [R E' R', U']]","[R' U' R U, M]","[R' E2 R, U']",,,,
UL,"[L2' U : [S', L2]]","[M2 U : [M, U2]]",,"[R' S2 R, U]","[L' U L U', M']","[E : [L E' L', U]]","[R' F : [R S R', F2]]",R' U' R U R U R U' R' U',D' R' U' R U R U R U' R' U' D,"[L' U' L : [S', L2]]","[L' E L, U]","[U' : [U', R E R']]","[L E' L', U]","[R' F R, S]","[U' : [U', R E' R']]",,"[U' : [U', R' E R]]","[L' E' L, U]",(M U M' U)2,"[L E2 L', U]","[L U L' U', M]","[E' : [L' E L, U]]",,comms w/ RS 4 mover,28,0.06363636364
FR,"[R' U' : [S, R2]]","[E' : [U', R' E R]]","[U, R' S2 R]",,"[U' R U, M']","[R' U' R' : [E, R2]]","[UD' L' : [E', L2]]",U2 R U' R' U' R' U' R U R U',"[DU L' : [E', L2]]","[U L' : [E', L2]]","[E', R U' R']","[D' : [U' R U, M']]",,"[l F : [F, l' S' l]]","[R : [R E' R', U']]","[S' U L' : [E', L2]]","[E, R U' R']","[L' E' : [L U L', E']]","[U' : [R, U' M U]]","[U R : [S, R2]]","[U' R U, M]","[R' U' R : [E', R2]]",,comms w/ LS 4 mover,17,0.03863636364
FD,"[U' M U : [M, U2]]","[M', R U' R' U]","[M', L' U L U']","[M', U' R U]",,"[M', U L' U']",,"[U R' F' R : [S, R2]]","[D : [S', R F R']]","[U' L F L' : [S', L2]]","[D R D', M]","[U' : [R' F' R, S']]","[D R' D', M]","[R' F' : [R U' R', E]]","[D' L' D, M]","[L F : [L' U L, E']]","[D' L D, M]","[U : [S', R' D' R]]",U M U M' U2 M' U' M U,"[M', U' R' U]","[U' : [R' F' R, S]]","[M', U L U']",,comms w/ LE 4 mover,38,0.08636363636
FL,"[L U : [S', L2]]","[U', R E2 R']","[E : [U, L E' L']]","[R' U' R : [E, R2]]","[U L' U', M']",,"[U'D R : [E, R2]]","[U' R : [E, R2]]","[D'U' R : [E, R2]]",U2' L' U L U L U L' U' L' U,"[L' : [L' E L, U]]","[R E : [R' U' R, E]]","[E', L' U L]","[S U' R : [E, R2]]","[E, L' U L]","[r' F' : [F', r S r']]",,"[S' U' R : [E, R2]]","[U : [L', U M U']]","[R U' R : [E, R2]]","[U L' U', M]","[U' L' : [S', L2]]",,comms w/ RE 4 mover,53,0.1204545455
DF,"[U2, M']","[M U2 M, U]","[R' F' : [R S R', F2]]","[D'U L : [E', L2]]",,"[U'D R' : [E, R2]]",,"[R' F' : [R S' R', F2]]",M u2 M u2,"[R' F' : [R' S' R, F2]]","[F : [R2, E]]","[R' F : [R2, E]]","[R2' F : [R2, E]]",[M : u M u2 M u],"[F' : [L2, E']]","[L' F : [E', L2]]","[U R' F' : [F', R S R']]","[L F' : [L2, E']]","[D' : [R F R', S']]","[UD' L' : [E, L2]]","[U : [S, R' F' R]]","[U'D R : [E', R2]]",,comms w/ MU 4 mover,21,0.04772727273
DR,"[U' : [S, R2]]","[R' U R' : [S, R2]]",U R U R' U' R' U' R' U R,U R' U' R' U R U R U R' U2,"[U R' F' R' : [S, R2]]","[U' R' : [E, R2]]","[R' F : [R S' R', F2]]",,"[S' r : [U R' U', M2]]","[U' : [R2, S']]","[u' R : [E', R2]]",,"[U'E' R' : [E, R2]]","[R' F R, S']","[u' R' : [E, R2]]","[r : [U', L E' L']]","[R' F : [R S' R', F]]","[L' F' L, S]","[D' R' F : [R2, E]]",U R U R U' R' U' R' U' R,"[R' : [U' R' U, M]]","[U' R : [E', R2]]",,comms w/ MD 4 mover,0,0
DB,"[M, U2]","[M2, R U' R' U]",D' U R U R' U' R' U' R' U R D,"[UD L : [E', L2]]","[D : [R F R', S']]","[U'D' R' : [E, R2]]",u2 M' u2 M',"[D' R' F : [R S' R', F2]]",,U' R' D' R D R D R D' R' UD',"[M : [U R' U', M2]]","[U' : [S, R' B R]]","[M : [U R U', M2]]","[D' : [R' F R, S']]","[M : [U' L U, M2]]","[D : [L F' L', S]]","[D' R' F : [R S' R', F]]","[U : [S', L B' L']]",,"[UD L' : [E, L2]]","[U : [S, R B R']]","[U'D' R : [E', R2]]",,comms w/ Mu 4 mover,6,0.01363636364
DL,"[U : [S', L2]]",U' L' U' L U L U L U' L',"[L U' L : [S', L2]]","[U L : [E', L2]]","[U' L F L : [S', L2]]",U' L U L U' L' U' L' U' L U2,"[R' F : [R' S' R, F2]]","[U' : [S', R2]]","[S l' : [U' L U, M2]]",,"[u L : [E', L2]]","[R F R', S']","[UE L' : [E, L2]]","[R' : [F, R' S' R]]","[u L' : [E, L2]]","[L F' L', S]","[UE L : [E', L2]]",,"[D L F' : [L2, E']]","[U L' : [E, L2]]","[UD : [R' F' R, S]]",U' L' U' L' U L U L U L',,total w/ 4 movers,163,0.3704545455
RB,"[U : [L' E L, U2]]","[U : [L' E L, U]]","[U, L' E L]","[R U' R', E']","[M, D R D']","[L' : [U, L' E L]]","[F : [E, R2]]","[u' R' : [E', R2]]","[M' : [U R' U', M2]]","[u L' : [E', L2]]",,"[U' S U, R]","[M' U' R' : [S, R2]]","[S' : [U, L' E L]]","[u R : [S, R2]]","[r' U : [M', U2]]","[r U R' : [E, R2]]","[L F' : [E, L2]]",[R : (D M D M')2],,"[M', U R' U']","[L U L', E]",,U perm variants,15,0.03409090909
RD,"[U' : [R E R', U2]]","[U', R E R']","[U' : [R E R', U']]","[R' f R' : [S', R2]]","[U' : [S', R' F' R]]","[R E : [E, R' U' R]]","[R' F : [E, R2]]",,"[U' : [R' B R, S]]","[S', R F R']","[R, U' S U]",,"[R', D' M D]","[F' R : [E, R2]]","[R' F : [R2, E']]","[R' F R : [S, R2]]","[S' : [R' E R, U']]","[R' F R' : [S', R2]]",(D M D M')2,"[D' : [M', U' R' U]]","[U'D' : [R' F' R, S]]","[R' E' : [E', R U' R']]",,total S comms,134,0.3045454545
RF,"[U : [L E' L', U2]]","[U : [L E' L', U]]","[U, L E' L']",,"[M, D R' D']","[L' U L, E']","[R2' F : [E, R2]]","[U'E' R : [E, R2]]","[M' : [U R U', M2]]","[UE L : [E, L2]]","[M' U' R : [S, R2]]","[D' M D, R']",,"[S' : [U, L E' L']]","[E R U' R' : [E, R2]]","[M R U : [M', U2]]","[UE R' : [S, R2]]","[S : [U, L E' L']]",[r : (M' U M U)2],"[R' U' R, E]","[M', U R U']","[L : [U, L E' L']]",,total E comms,194,0.4409090909
RU,"[S U' : [S, R2]]",,"[S, R' F R]","[l F : [l' S' l, F]]","[r : [U R' U', M']]","[S U' R' : [E, R2]]",[M : u' M' u2 M' u'],"[S', R' F R]","[r : [U R' U', M2]]","[R' : [R' S' R, F]]","[S' : [L' E L, U]]","[F' R' : [E, R2]]","[S' : [L E' L', U]]",,"[l U : [M', U2]]","[M U : [M', U2]]","[M L' U : [M', U2]]","[L F' L : [S', L2]]",[M' : (M' U M U)2],"[R u' R' : [E', R2]]","[M', R U R' U']","[S U' R : [E', R2]]",,total M comms,130,0.2954545455
LB,"[U' : [R E' R', U2]]","[U', R E' R']","[U' : [R E' R', U']]","[R : [U', R E' R']]","[M' : [M', U' L U]]","[L' U L, E]","[F' : [E', L2]]","[u' R : [E, R2]]","[M' : [U' L U, M2]]","[u L : [E, L2]]","[u R' : [S, R2]]","[R' F : [E', R2]]","[E R U' R : [E, R2]]","[l U' : [M', U2]]",,"[S : [U', R E' R']]","[r U L : [S', L2]]","[U S' U', L']",[L' : (D' M D' M')2],"[R' U' R, E']","[M', U' L U]",,,total combined slice comms,18,0.04090909091
LU,"[S' U : [S', L2]]","[S', L F' L']",,"[S' U L : [E', L2]]","[l' : [U' L U, M']]","[r' F' : [r S r', F']]",[M : u M' u2 M' u],"[r : [L E L', U]]","[l' : [U' L U, M2]]","[S, L F' L']","[r' U' : [M', U2]]","[R' F R' : [S, R2]]","[M R U' : [M', U2]]","[M U' : [M', U2]]","[S : [R E' R', U']]",,"[S' : [R' E R, U']]","[F L : [E', L2]]","[U'D' : [R' D R, S']]","[S' U L' : [E, L2]]","[M', L' U' L U]","[L' u L : [E, L2]]",,,,
LF,"[U' : [R' E R, U2]]","[U', R' E R]","[U' : [R' E R, U']]","[R U' R', E]","[M, D' L D]",,"[L2 F' : [E', L2]]","[U'E' R' : [E, R2]]","[M' : [U' L' U, M2]]","[UE L' : [E', L2]]","[r U R : [E, R2]]","[S' : [U', R' E R]]","[U'E' L : [S', L2]]","[U' M : [R' E R, U']]","[r U L' : [S', L2]]","[S : [U', R' E R]]",,"[D M D', L]","[U' M : [R' E R, U]]","[R' : [U', R' E R]]","[M', U' L' U]","[L U L', E']",,,,
LD,"[U : [L' E' L, U2]]","[U : [L' E' L, U]]","[U, L' E' L]","[L' E' : [E', L U L']]","[U : [R' D' R, S']]","[S' U' R' : [E, R2]]","[L F' : [E', L2]]","[S, L' F' L]","[U : [L B' L', S']]",,"[L F' : [L2, E]]","[R' F R : [S', R2]]","[S : [L E' L', U]]","[L F' L' : [S', L2]]","[L', U S' U']","[F L' : [E', L2]]","[L, D M D']",,(D' M D' M')2,"[L E : [E, L' U L]]","[U'D : [R' F' R, S]]","[S' U' R : [E', R2]]",,,,
BD,"[U M' U : [M', U2]]",(U M U M')2,(U' M U' M')2,"[U' : [U' M U, R]]",U M' U' M U2 M U M' U,"[U : [U M U', L']]","[D' : [S', R F R']]","[D' R' F : [E, R2]]",,"[D L F' : [E', L2]]",[R : (M D' M' D')2],(M D' M' D')2,[R' : (M D' M' D')2],[M' : (U' M' U' M)2],[L' : (M D M' D)2],[M' : (U M' U M)2],"[U' M : [U, R' E R]]",(M D M' D)2,,"[U' : [U' M U, R']]","[U' : [R B R', S]]","[U : [U M U', L]]",,,,
BR,"[R U' : [S, R2]]","[E : [U', R E' R']]","[U, R S2 R']","[U R' : [S, R2]]","[U' R' U, M']","[R U' R' : [E, R2]]","[UD' L : [E, L2]]",R' U R U R U R' U' R' U',"[UD L : [E, L2]]","[U L : [E, L2]]",,"[D' : [U' R' U, M']]","[E, R' U' R]","[R u' R : [E', R2]]","[E', R' U' R]","[S' U L : [E, L2]]","[R' : [R' E R, U']]","[D : [U' R' U, M']]","[U' : [R', U' M U]]",,"[U' R' U, M]","[R U' R : [E', R2]]",,,,
BU,,"[M, R' U' R U]","[M, L U L' U']","[M, U' R U]","[U' : [S, R' F' R]]","[U' : [S, R' F2 R]]","[U : [R' F' R, S]]","[r' : [U' R' U, M']]","[D' r' : [U' R' U, M']]","[UD : [R' F' R, S]]","[U R' U', M']","[R : [U R U', M']]","[U R U', M']","[R U R' U', M']","[U' L U, M']","[L' U' L U, M']","[U' L' U, M']","[U'D : [S, R' F' R]]","[U' : [S, R B R']]","[M, U' R' U]",,"[M, U L U']",,,,
BL,"[L' U : [S', L2]]","[U', R' E2 R]","[E' : [U, L' E L]]","[R' U' R' : [E', R2]]","[U L U', M']","[U' L : [S', L2]]","[U'D R' : [E', R2]]","[U' R' : [E', R2]]","[U'D' R' : [E', R2]]",L U' L' U' L' U' L U L U,"[E, L U L']","[R' E' : [R U' R', E']]","[L : [L E' L', U]]","[S U' R' : [E', R2]]",,"[L' u L' : [E, L2]]","[E', L U L']","[S' U' R' : [E', R2]]",[L : (M U M' U)2]],"[R U' R' : [E', R2]]","[U L U', M]",,,,,
