first/last,UBL,UBR,UFL,FUL,FDR,FDL,DFL,DFR,DBR,DBL,RUB,RDB,RDF,LDB,LUB,LUF,LDF,BDL,BDR,BUR,BUL,,PARITY:,,,
UBL,,"[R' B' R : [U', R D R']]","[R' D'U' : [R' D R, U']]","[l' U'D' : [R D R', U2]]","[UD : [R D R', U2]]","[UD' : [R D' R', U2]]","[R F' R' U : [R D R', U2]]","[R2 : [R2' D R2 D' R2', U]]","[R D' R' : [U2, R' D R]]","[R' U'D' R : [D, R U' R']]","[R' U'D' R' : [R' D R, U']]","[U : [R D R', U2]]","[U2, R' D' R]","[U : [R D' R', U2]]",,"[F : [R' D' R, U2]]","[U2, R' D R]","[UD' : [R D R', U2]]","[UD : [R D' R', U2]]","[R' U'D : [R D R', U2]]",,,R' U2' R U' R' F2 R U2 R U2 R' F2 R' U' R2 U' R',,PROGRESS (378 TOTAL):,378
UBR,"[R' B' R : [R D R', U']]",,"[R F' R' : [U, R' D R]]","[R : [R D R', U2]]","[D' : [U, R' D R]]","[D : [U, R' D' R]]","[R F' : [D, R' U' R]]","[U' R' D R : [U, R D' R']]","[U R D' R' : [R' D R, U']]","[R' B : [R U R', D']]",,"[R D R', U']","[U, R' D' R]","[R D' R', U']","[R : [R D R', U]]","[R' : [U', R' D' R]]","[U, R' D R]","[D' : [R D R', U']]","[D : [R D' R', U']]",,"[R' : [U2, R' D' R]]",,R U R' F' R U R' U' R' F R2 U' R' U',,,
UFL,"[R' D'U' : [U', R' D R]]","[R F' R' : [R' D R, U]]",,,"[D' : [U', R' D R]]","[D : [U', R' D' R]]","[U' R F' : [R' U' R, D]]","[D R D' R' : [U', R' D R]]","[R D' R' : [U', R' D R]]","[R' D' R : [D, R U' R']]","[U' R' : [R' D' R, U2]]","[U' : [U', R D R']]","[U', R' D' R]","[U' : [U', R D' R']]","[U' R : [U2, R D R']]",,"[U', R' D R]","[D : [U', R' D R]]","[D' : [U', R' D' R]]","[R' D' : [R' D R, U']]","[U' R' : [R' D' R, U']]",,U L' U' L F L' U' L U L F' L2 U L,,,
FUL,"[l' UD' : [R D R', U2]]","[R : [U2, R D R']]",,,"[R' : [F2, R D' R' D]]","[R U' : [R' D R, U2]]","[R U'D : [R' D' R, U2]]","[D' R U'D : [R' D' R, U2]]","[D R : [U2, R D' R']]","[R : [U2, R D' R']]","[R' : [R2 D' R2 D R2, U']]","[R D'U' : [R' D R, U2]]","[l' : [U2, R' D' R]]","[R DU' : [R' D R, U2]]","[l' U : [R D' R', U2]]",,"[D R' : [F2, R D' R' D]]","[D2 R' : [F2, R D' R' D]]","[R U' : [R' D' R, U2]]","[R U'D' : [R' D' R, U2]]","[R U R' U'D : [R D R', U2]]",,L U' x U2' R2' F R F' R U2' r' U L U L',,,
FDR,"[U'D : [R D R', U2]]","[D' : [R' D R, U]]","[D' : [R' D R, U']]","[R' : [R D' R' D, F2]]",,"[R' : [R D' R' D, F']]","[R : [F2, R' U R U']]",,"[U R D' : [R' D R, U']]",R U r2' D' R' D r2 U',"[U' R' U' : [R D R', U2]]","[U : [D', R U' R']]",,"[U R U' : [R D' R', U']]","[R U R' : [R' D' R, U']]","[F : [D, R U R']]","[U : [D, R U' R']]","[U'D' : [R' U' R, D2]]","[D R D' : [R' U' R, D2]]","[D' R' U : [D, R U' R']]","[l D' : [R' D R, U']]",,U R U' R U R' F' R U R' U' R' F R2 U' R2' U',,,
FDL,"[U'D' : [R D' R', U2]]","[D : [R' D' R, U]]","[D : [R' D' R, U']]","[R U : [R' D R, U2]]","[R' : [F', R D' R' D]]",,,"[R U' R' : [U2, R' D R]]","[D R : [U', R D' R']]","[D R D : [R' D' R, U]]","[F' U' : [R' D' R, U2]]","[R D : [R' U' R, D]]","[R U R', D]","[D, L' U L]","[R U : [R' D R, U]]","[D R' U' : [D', R U R']]",,"[D' R D : [R' U' R, D2]]","[D' : [R U R', D2]]","[R' F : [D, R U' R']]","[D R' : [R' U R, D]]",,U2D R' F R2 U' R' U' R U R' F' R U R' UD',,,
DFL,"[R F' R' U' : [R D R', U2]]","[R F' : [R' U' R, D]]","[U' R F' : [D, R' U' R]]","[R UD : [R' D' R, U2]]","[R : [R' U R U', F2]]",,,"[U' R' F' : [D', R U' R']]","[R U' R' : [R' U R, D2]]","[R U' D' : [R' U R, D']]","[U' R' : [R' D R, U2]]","[U' R' : [R' D R, U]]","[R D : [U, R' D' R]]","[D' R DU' : [R' U R, D2]]","[R : [R D2 R', U]]","[U' R' U : [R U' R', D]]",,"[l U'D' : [R D R', U2]]","[D' R : [R D' R', U']]","[D' R U' : [R' U R, D']]","[U' R' : [R' D R, U']]",,U' x U2' R2' F R F' R U2' r' U L U,,,
DFR,"[R2 : [U, R2' D R2 D' R2']]","[U' R' D R : [R D' R', U]]","[D R D' R' : [R' D R, U']]","[D' R UD : [R' D' R, U2]]",,"[R U' R' : [R' D R, U2]]","[U' R' F' : [R U' R', D']]",,"[F' R U : [R' D' R, U2]]","[R U' R' U' : [R D' R', U2]]","[U R' : [F2, R D' R' D]]","[R U'D' R' : [R' D R, U2]]",,"[D2 R : [R D' R', U']]","[D' R : [R D2 R', U]]","[R' F2 : [R U' R', D']]","[UD R D' : [U', R' D R]]","[U'D' R' : [R' D R, U]]","[D' R D : [U, R' D' R]]","[U R' U' : [R U R', D']]","[U'D' R' : [R' D R, U']]",,UD R2' U' R2 U R2' D' R2 U R2' U' R2 U2',,,
DBR,"[R D' R' : [R' D R, U2]]","[U R D' R' : [U', R' D R]]","[R D' R' : [R' D R, U']]","[D R : [R D' R', U2]]","[U R D' : [U', R' D R]]","[D R : [R D' R', U']]","[R U' R' : [D2, R' U R]]","[F' R U' : [R' D' R, U2]]",,"[R U' R' : [D', R' U R]]","[R' : [R2 D' R2' D R2, U]]",,"[D R U'D : [R' U R, D2]]","[R D' R' : [R' D R, U]]","[D R : [R D' R', U]]","[R U' R' : [D, R' U R]]","[U R : [D, R U' R']]","[U R : [D2, R U' R']]",,"[D R U' : [R' U R, D']]","[R' : [U' L' U, R2]]",,U R2 U' R U R' F' R U R' U' R' F R2 U' R U',,,
DBL,"[R' U'D' R : [R U' R', D]]","[R' B : [D', R U R']]","[R' D' R : [R U' R', D]]","[R : [R D' R', U2]]",U r2' D' R D r2 U' R',"[D R D : [U, R' D' R]]","[R U' D' : [D', R' U R]]","[R U' R' U : [R D' R', U2]]","[R U' R' : [R' U R, D']]",,"[U'D R' : [R' D R, U2]]",UD' R' D r2 U' R U r2' U',"[R : [R D' R', U']]",,"[R : [R D' R', U]]","[F R : [U', R D' R']]","[D R : [R' U R U', F2]]",,"[R U'D : [R' U R, D2]]","[R U' : [R' U R, D']]","[U'D R' : [R' D R, U']]",,U'D r2' D' r2 U r2' U' r2 U r2' D' r2,,,
