first/last,FR,FD,FL,DF,DR,DB,DL,RB,RD,RF,LB,LF,LD,BD,BR,BL,,,,
FR,,"[U' : [U' R U, M']]","[R' U2 R' : [E, R2]]","[D' L' : [E', L2]]","[u2 R' : [E', R2]]","[D L' : [E', L2]]","[L' : [E', L2]]","[E', R U2 R']","[r : [U2, L E' L']]",,"[R : [R E' R', U2]]","[E, R U2 R']","[R U2 R', S]","[r U' : [M', U2]]","[R : [S, R2]]","[R' U2 R : [E', R2]]",,PROGRESS (224 TOTAL),224,
FD,"[U' : [M', U' R U]]",,"[U' M' U, L']",,"[R' F' R : [S, R2]]","[U'D : [S', R F R']]","[S U' : [M', U2]]","[M' : [U, L' E L]]","[r : [U, L E' L']]","[r U' : [r E' r', U']]","[r U' : [r' E r, U']]","[r U' : [r' E r, U]]","[S', R' D' R]",M U M' U2 M' U' M U2,"[r' U' : [M, U2]]","[U' M' U, L]",,,,
FL,"[R' U2 R : [E, R2]]","[L', U' M' U]",,"[L', U M2 U']","[U2 R : [E, R2]]","[L', U' M2 U]","[E2' L : [E, L2]]","[u' L : [U, L E' L']]","[R, E l E']","[U : [E', L' U' L]]","[U' : [E, L' U L]]",,"[L' U : [L U' L', E']]","[L', U M U']","[R U2 R : [E, R2]]","[U2 L' : [S', L2]]",,comms w/ RS 4 mover,18,0.08035714286
DF,"[D' L : [E', L2]]",,"[U M2 U', L']",,"[R2 U : [M', U2]]",u' M u2 M u',"[L D L' : [S, L2]]","[R' : [S, R' F' R]]","[U' R' F : [R2, E]]","[R S R', F']","[R E' R' U : [M', U2]]","[R' F' : [F', R S R']]","[S', L' F L]","[U'D' : [R F R', S']]","[D' L' : [E, L2]]","[U M2 U', L]",,comms w/ LS 4 mover,10,0.04464285714
DR,"[u2 R : [E', R2]]","[R' F' R' : [S, R2]]","[U2 R' : [E, R2]]","[R2 U' : [M', U2]]",,"[R2 U : [M, U2]]","[S, L2]","[u'U' R : [E', R2]]",,"[uU R' : [E, R2]]","[u'U' R' : [E, R2]]","[uU R : [E', R2]]","[U' : [S, L' F' L]]","[l U R : [E, R2]]","[u2 R' : [E, R2]]","[U2 R : [E', R2]]",,comms w/ LE 4 mover,26,0.1160714286
DB,"[D L : [E', L2]]","[l' : [U L U', M']]","[U' M2 U, L']",u M' u2 M' u,"[R2 U' : [M, U2]]",,"[L D' L' : [S, L2]]","[r' : [S, L' U L]]","[D' R' F' R' : [S, R2]]","[r : [L F L', S']]","[l U : [U, R' E R]]","[l u' L : [E', L2]]","[S', L B' L']",,"[D L' : [E, L2]]","[U' M2 U, L]",,comms w/ RE 4 mover,32,0.1428571429
DL,"[L : [E', L2]]","[S U : [M', U2]]","[E2' L' : [E, L2]]","[L D L : [S, L2]]","[L2, S]","[L D' L : [S, L2]]",,"[E' L : [E', L2]]","[U' : [R F R', S']]","[E L' : [E, L2]]","[E' L' : [E, L2]]","[E L : [E', L2]]",,"[S U' : [M, U2]","[L' : [E, L2]]","[E2' L : [E', L2]]",,comms w/ MU 4 mover,16,0.07142857143
RB,"[R U2 R', E']","[M' : [L' E L, U]]","[u' L : [L E' L', U]]","[R' : [R' F' R, S]]","[u'U' R' : [E', R2]]","[r' : [L' U L, S]]","[E' L' : [E', L2]]",,"[R' : [R', U' M' U]]","[S' R : [S', R2]]","[E' R : [S, R2]]","[u' R' U' R' : [E', R2]]","[S', R D2 R']","[M : [l' E l, U']]",,"[U' : [L U L', E]]",,comms w/ MD 4 mover,0,0
RD,"[r : [L E' L', U2]]","[r : [L E' L', U]]","[E l E', R]","[U' R' F : [E, R2]]",,"[D' R' F' R : [S, R2]]","[U' : [S', R F R']]","[R' : [U' M' U, R']]",,"[E' L E, r]","[R' E' R : [S, R2]]","[R E R' : [R2, S]]","[U' R' F R' : [S', R2]]","[r' : [L' E L, U']]","[r' : [L' E L, U2]]","[R', E l' E']",,comms w/ Mu 4 mover,3,0.01339285714
RF,,"[M' : [l E' l', U]]","[U : [L' U' L, E']]","[F', R S R']","[uU R : [E, R2]]","[r : [S', L F L']]","[E L : [E, L2]]","[S' R' : [S', R2]]","[r, E' L E]",,"[u' R U' R' : [E, R2]]","[E R' : [S, R2]]","[S', R' D2 R]","[M : [L E' L', U']]","[R' U2 R, E]","[u' R' : [R' E R, U']]",,total w/ 4 movers,105,0.46875
