first/last,UL,FR,FD,FL,DF,DR,DB,DL,RB,RD,RF,LB,LU,LF,LD,BD,BR,BL,,,,
UL,,"[R' S2 R, U2]","[M U' : [M, U2]]","[U2, R E2 R']","[U : [M', U2]]","[R2, S]","[U' : [M, U2]]","[S', L2]","[L' E L, U2]","[U2, R E R']","[L E' L', U2]","[U2, R E' R']",,"[U2, R' E R]","[L' E' L, U2]","[M' U' : [M', U2]]","[L E2' L', U2]","[U2, R' E2 R]",,PROGRESS (288 TOTAL),288,
FR,"[U2, R' S2 R]",,"[R, U M' U']","[U R' U' R' : [E, R2]]","[R, U' M2 U]","[E2 R' : [E', R2]]","[R, U M2 U']","[U2 L' : [E', L2]]","[U : [E', R U' R']]","[R U' : [R' U R, E]]",,"[u R' : [U', R' E R]]","[R, U M U']","[U' : [E, R U R']]","[D : [R, U M' U']]","[R, U' M U]","[U2 R : [S, R2]]","[U R' U' R : [E', R2]]",,,,
FD,"[M U : [M, U2]]","[U M' U', R]",,"[U : [M', U L' U']]",,"[S' U : [M', U2]]","[UD : [R F R', S']]","[L F L' : [S', L2]]","[l' U : [l' E l, U]]","[R' F' R, S']","[l' U : [l E' l', U]]","[M' : [U', R E' R']]","[R' F' R, S]","[M' : [U', r' E r]]","[l' : [U', R' E R]]",M U' M' U2 M' U M U2,"[U M' U', R']","[l U : [M', U2]]",,comms w/ RS 4 mover,16,0.05555555556
FL,"[R E2 R', U2]","[U R' U' R : [E, R2]]","[U : [U L' U', M']]",,"[D R : [E, R2]]","[R : [E, R2]]","[D' R : [E, R2]]","[u2 L : [E, L2]]","[L' : [L' E L, U2]]","[R' F2 R, S']","[E', L' U2 L]","[E, L' U2 L]","[R' F2 R, S]",,"[l' : [U2, R' E R]]","[l' U : [M', U2]]","[U R U' R : [E, R2]]","[L' : [S', L2]]",,comms w/ LS 4 mover,18,0.0625
DF,"[U' : [M', U2]]","[U' M2 U, R]",,"[D R' : [E, R2]]",,"[R' D' R : [S', R2]]",u M u2 M u,"[L' D R' : [E, R2]]","[f' R : [S, R2]]","[S, R F' R']","[L F : [F, L' S' L]]","[L : [S', L F L']]","[S', L F L']","[L' S' L, F]","[U L F' : [L2, E']]","[UD' : [R F R', S']]","[U' M2 U, R']","[D R : [E', R2]]",,comms w/ LE 4 mover,20,0.06944444444
DR,"[S, R2]","[E2 R : [E', R2]]","[S' U' : [M', U2]]","[R' : [E, R2]]","[R' D' R' : [S', R2]]",,"[R' D R : [S', R2]]","[R2, S']","[E R : [E', R2]]",,"[E' R' : [E, R2]]","[E R' : [E, R2]]","[D' : [S', L F L']]","[E' R : [E', R2]]","[U : [S, L' F' L]]","[S' U : [M, U2]]","[E2 R' : [E, R2]]","[R : [E', R2]]",,comms w/ RE 4 mover,42,0.1458333333
DB,"[U : [M, U2]]","[U M2 U', R]","[r : [U' R' U, M']]","[D' R' : [E, R2]]",u' M' u2 M' u',"[R' D R' : [S', R2]]",,"[L' D' R' : [E, R2]]","[r' U' : [U', L E' L']]","[S, R' B R]","[r' u R' : [E, R2]]","[l : [S', R U' R']]","[S', L' B' L]","[l' : [R' F' R, S]]","[D L F L : [S', L2]]",,"[U M2 U', R']","[D' R : [E', R2]]",,comms w/ MU 4 mover,18,0.0625
DL,"[L2, S']","[U2 L : [E', L2]]","[L F L : [S', L2]]","[u2 L' : [E, L2]]","[L' D R : [E, R2]]","[S', R2]","[L' D' R : [E, R2]]",,"[uU L : [E', L2]]","[U : [R F R', S']]","[u'U' L' : [E, L2]]","[uU L' : [E, L2]]","[D : [S', L F L']]","[u'U' L : [E', L2]]",,"[r' U' L' : [E', L2]]","[U2 L' : [E, L2]]","[u2 L : [E', L2]]",,comms w/ MD 4 mover,0,0
RB,"[U2, L' E L]","[U : [R U' R', E']]","[l' U : [U, l' E l]]","[L' : [U2, L' E L]]","[f' R' : [S, R2]]","[E R' : [E', R2]]","[r' U' : [L E' L', U']]","[uU L' : [E', L2]]",,"[S, U' R U]","[S' R' : [S, R2]]","[E L : [S', L2]]","[S', R' U2 R]","[u R' U' R : [E', R2]]","[L E L : [S', L2]]","[l U' : [U', l' E l]]",,"[L U2 L', E]",,comms w/ Mu 4 mover,3,0.01041666667
RD,"[R E R', U2]","[R U' : [E, R' U R]]","[S', R' F' R]","[S', R' F2 R]","[R F' R', S]",,"[R' B R, S]","[U : [S', R F R']]","[U' R U, S]",,"[U R' U', S]","[R' B2 R, S]","[D' : [R' F' R, S]]","[R F2 R', S]","[U R' F R' : [S', R2]]","[S', R B R']","[R' U : [E', R U' R']]","[S', R B2 R']",,total w/ 4 movers,117,0.40625
RF,"[U2, L E' L']",,"[l' U : [U, l E' l']]","[L' U2 L, E']","[L F : [L' S' L, F]]","[E' R : [E, R2]]","[r' u R : [E, R2]]","[u'U' L : [E, L2]]","[S' R : [S, R2]]","[S, U R' U']",,"[u R U' R : [E, R2]]","[S', R U2 R']","[E' L' : [S', L2]]","[L' E' L : [S', L2]]","[l U' : [l E' l', U']]","[U' : [R' U R, E]]","[u' R' : [R' E R, U]]",,U perm variants,0,0
