1st Target:,UB,UR,UF,UL,LU,LF,LD,LB,FU,FR,FL,RU,RB,RD,RF,BU,BL,BD,BR,DR,DB,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,,,,,
LF,,,,,,,"[L2' : [U' M' U , L]]","[L : [U' M' U , L2']]",,"[E' , l' U l]",,,"[r U' R : [E , R2']]","[M' U' R : [E , R2']]","[r : [U' , r E2 r']]",,"[L' S L , F]","[M' : [U L' U' , M']]","[l2' : [E , l U l']]","[D , R E R']","[D : [R E R' , D2']]","[R' F2 : [R' S' R , F]]"
LD,,,,,,"[L' : [U' M' U , L']]",,"[L : [U' M' U , L]]",,"[L F' L' U L' : [E' , L2]]","[L F S' L : [S , L2']]",,"[L F : [L2' , E]]","[R' F' R : [S' , R2']]","[M' U L : [E' , L2']]",,"[L f L' : [S' , L2]]","[D : [R F' R' , S']]","[l : [E , L' D L]]","[S , L' F L]","[D R' F' R : [S' , R2']]",
LB,,,,,,"[M' U' L : [S' , L2']]","[L2 : [U' M' U , L']]",,,"[r M' : [U , R E' R']]","[L' : [S' , L' F L]]",,"[F : [L2' , E]]","[R' F' : [E' , R2]]","[R2' F' : [E' , R2]]",,,"[M' : [U L U' , M']]","[R D R' , E']","[D , R' E' R]","[D : [R' E' R , D2']]","[S : [U' M' U , L]]"
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,,,,"[l' U l , E']","[L F' L' U L : [E' , L2']]","[r2 : [E' , R' U R]]",,,"[R D R : [E , R2']]",,"[R2 : [F' , R' S R]]","[R' S F' R : [S' , R2']]",,,"[F' R : [U' , R E' R']]","[M2 : [U R U' , M']]","[D' R' : [S' , R2]]","[R2 : [U' M2 U , R']]","[R u' : [M' , D2]]","[M2 U' L' : [E' , L2]]"
FL,,,,,,,"[L F S' L' : [S , L2]]","[L2' : [F , L S' L']]",,"[R D R' : [E , R2]]",,,"[l2' : [E , L U' L']]","[R' F R U' R' : [E , R2]]","[r U' r' , E]",,"[D L : [S , L2']]","[M2 : [U' L' U , M']]","[R' D R' : [E , R2]]","[M2 U R : [E , R2']]","[L' u : [M' , D2']]","[L2' : [U M2 U' , L]]"
RU,,,,,,,,,,,,,,,,,,,,,,
