1st Target:,UBL,UBR,UFR,UFL,LUB,LUF,LDF,LDB,FUL,FUR,FDL,RUF,RUB,RDB,BUR,BUL,BDL,BDR,DFL,DBR,DBL
UBL,,,,,,,,,,,,,,,,,,,,,
UBR,,,,,,,,,,,,,,,,,,,,,
UFR,,,,,,,,,,,,,,,,,,,,,
UFL,,,,,,,,,,,,,,,,,,,,,
LUB,,,,,,,,,,,,,,,,,,,,,
LUF,,,,,,,,,,,,,,,,,,,,,
LDF,,,,,,,,"[L2: [F2, L U' L' U]]",,,,,,"[R' U D : [R U R' , D2']]",,,"[l D' : [R' U R , D2]]","[R2 D : [U , R' D' R]]",,"[R' U R2 U' R2' : [D , R2 U R2' U' R2]]","[r D L' U : [F2 , U' L U L']]"
LDB,,,,,,,"[L' U' L' U : [F2 , U' L U L']]",,,,"[R U D : [R U' R' , D]]",,,"[R U' D : [R' U' R , D2]]",,,,"[R U R' D' : [R U' R' , D']]","[F' : [R U R' , D2]]","[R U' D' R' : [U , R' D R]]",
FUL,,,,,,,,,,,,,,,,,,,,,
FUR,,,,,,,,,,,,,,,,,,,,,
FDL,,,,,,,,"[R U D2 : [R U' R' , D']]",,,,,,"[R U : [R U' R' , D]]",,,"[D R2 D : [U , R' D' R]]","[R' F' R2 : [U , R' D' R]]",,"[D R2 D' : [R D R' , U']]","[D R2 : [U , R' D R]]"
RUF,,,,,,,,,,,,,,,,,,,,,
RUB,,,,,,,,,,,,,,,,,,,,,
RDB,,,,,,,"[R' U D' : [R U R' , D2]]","[R U' D' : [R' U' R , D2]]",,,"[R U : [D , R U' R']]",,,,,,"[D' R : [D , R U R']",,"[R D' R' D , F']",,"[R' D' R U : [R U' R' , D']]"
BUR,,,,,,,,,,,,,,,,,,,,,
BUL,,,,,,,,,,,,,,,,,,,,,
BDL,,,,,,,"[R' F D2 : [R U' R' , D]]",,,,"[D R2 D : [R' D' R , U]]",,,"[D' R2 : [U , R' D R]]",,,,"[R' : [D' , R' U' R]]","[D : [R D' R' D , F']]","[R' : [D' , R2 U' R2' U R2]]",
BDR,,,,,,,"[R2 D : [R' D' R , U]]","[R U R' D2' : [R U' R' , D]]",,,"[R' F' R : [D' , R U R']]",,,,,,"[R2 : [U' , R D' R']]",,"[R : [D , R U R']]",,"[R2 D' : [U' , R D R']]"
DFL,,,,,,,,"[F' : [D2 , R U R']]",,,,,,"[F' , R D' R' D]",,,"[D : [F' , R D' R' D]]","[R2 : [U , R' D R]]",,"[R' U D R2 : [D' , R' U' R]]","[F' , l' D l]"
DBR,,,,,,,"[R : [D , R2' U R2 U' R2']]","[R U' D' R2' : [D , R U R']]",,,"[D R2 D' : [U' , R D R']]",,,,,,"[R U' R2' U R2 : [D' , R2' U' R2 U R2']]",,"[R' U D R : [U' , R D' R']]",,"[D' R2 D : [R' D' R , U]]"
DBL,,,,,,,"[r U D L' : [F2 , L U' L' U]]",,,,"[D R : [D , R U R']]",,,"[R' D' R U : [D' , R U' R']]",,,,"[R2 D' : [R D R' , U']]","[l' D l , F']","[D' R2 D : [U , R' D' R]]",
