1st Target:,UB,UR,UF,UL,LU,LF,LD,LB,FU,FR,FD,FL,RU,RB,RD,RF,BL,BD,BR,DF,DR,DB,DL
UR,,,,"[M2 U : [M' , U2']]","[S , L' U L]","[R' E R , U]","[U2' : [L' E' L , U]]","[R E' R' , U]",,"[E' : [R' E R , U]]",(M' U M U) * 2,"[R E2 R' , U]",,"[U2' : [L' E L , U]]","[R E R' , U]","[U2' : [L E' L' , U]]","[R' E2 R , U]","[R : [U R' U' , M]]","[E : [R E' R' , U]]","[R : [U R' U' , M2]]","[R U' R' : [S , R2]]","[U' , M' U2 M']","[R U' L : [E , L2']]"
UF,,,,,,,,,,,,,,,,,,,,,,,
UL,,"[M2 U' : [M' , U2]]",,,,"[U2 : [R' E R , U']]","[L' E' L , U']","[U2 : [R E' R' , U']]",,"[L' E2' L , U']",(M' U' M U') * 2,"[E : [L E' L' , U']]","[S' , R U' R']","[L' E L , U']","[U2 : [R E R' , U']]","[L E' L' , U']","[E' : [L' E L , U']]","[L' : [U' L U , M]]","[L E2' L' , U']","[L' : [U' L U , M2]]","[r' F R' : [S , R2]]","[U , M' U2 M']","[L' U L : [S' , L2']]"
LU,,"[L' U L , S]",,,,"[S : [R' E R , U]]","[l' D' L' : [S , L2]]","[S : [R E' R' , U]]",,"[l : [E' , L' U L]]",[M2 : (U M' U M) * 2],"[L u' L' : [E' , L2]]","[M' U : [M , U2']]","[R' M' U : [M , U2]]","[L B L' : [S , L2]]","[L B : [L2' , E']]","[r' U2 : [r E' r' , U]]","[l : [U L' U' , M]]","[L' : [E , l U l']]","[M L' : [U L U' , M2]]","[r' : [L' E L , U]]","[L B' : [L2' , E]]","[S , L' B L]"
LF,,"[U , R' E R]",,"[U : [R' E R , U]]","[S : [U , R' E R]]",,"[U' S' U , L]","[E R' U R' : [E , R2]]",,"[R U R' , E]","[U R' : [E , r U' r']]",,"[R' B' : [E , R2]]","[l U L' : [E , L2]]","[S' : [U , R' E R]]","[u L : [S' , L2']]","[L U' L' , E']","[M : [U L' U' , M]]","[R' : [U , R' E R]]","[M : [U L' U' , M2]]","[u R' : [E' , R2]]","[l U : [S' , L2']]","[u' L' : [E' , L2]]"
LD,,"[U' : [L' E' L , U']]",,"[U' , L' E' L]","[l U' L : [S' , L2']]","[L , U' S' U]",,"[L' , U' S' U]",,"[L' E2' : [L U' L' , E]]","[U' : [S , L F L']]","[S' U R' : [E , R2]]","[R' B' R' : [S' , R2]]","[S : [L' E L , U']]","[l U' R' : [E' , R2]]","[S : [L E' L' , U']]","[S' U R : [E' , R2']]","[l' : [D L D' , M]]","[L E2' : [L' U' L , E']]","[U' : [L' F L , S']]","[S , L B L']","[M U : [S' , L2]]",
LB,,"[U , R E' R']",,"[U : [R E' R' , U]]","[S : [U , R E' R']]","[M U' L : [S' , L2']]","[U' S' U , L']",,,"[R : [U , R E' R']]","[U r : [E' , R' U' R]]","[L' U' L , E]","[M' L U : [M , U2']]","[U' E' R' : [S , R2]]","[S' : [U , R E' R']]","[r' U' R' : [E' , R2]]",,"[M : [U L U' , M]]","[R' U R , E']","[M : [U L U' , M2]]","[U E R : [E , R2']]","[r2' F' : [L2 , E']]","[U' E' L : [E , L2']]"
FU,,,,,,,,,,,,,,,,,,,,,,,
FR,,"[u : [R' E R , U']]",,"[U' , L' E2' L]]","[M : [U , L E' L']]","[E , R U R']","[L' E' : [L U' L' , E']]","[R2 : [E' , R' U R]]",,,"[U : [R , U M' U']]","[R' U R' : [E , R2]]","[R' u R' : [E , R2]]","[E' , R U R']","[U R U' : [R' U R , E]]",,"[R' U R : [E' , R2']]","[U R U' , M]","[U' R : [S , R2']]","[U R U' , M2]",R U' R' U' R' U' R U R U,"[U' R U : [M , U2']]","[U' L' : [E' , L2]]"
FD,,(U' M' U' M) * 2,,(U M' U M) * 2,"[U R M : [U' R' U , M2]]","[U M' : [U' , r' E r]","[U' : [L F L' , S]]","[U M' : [U' , R E' R']]",,"[U2 : [M' , U' R U]]",,"[U2' : [M' , U L' U']]","[U R F : [E , R2']]","[U' M' : [U , L' E L]]","[U : [R' F' R , S']]","[U' M' : [U , l E' l']]","[U2' : [M' , U L U']]","[U : [M U' M' , d2]]","[U2 : [M' , U' R' U]]",,"[U' R' F' R : [S , R2']]","[D : [S' , R' B' R]]","[U L F L' : [S' , L2]]"
