1st Target:,UB,UR,UF,UL,LU,LF,LD,LB,FU,FD,FL,RU,RB,RD,BU,BL,BD,BR,DF,DR,DB,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,,,,,
LF,,,,,,,"[S' R' S , l]","[R : [E' R E , l2']]",,,,,"[R' : [S' , R' F2 R]]","[L S L : [E' , L2']]",,"[L2 : [F2' , L' S L]]",,"[L : [E' L' E , r2']]",,"[R' , S l S']",,"[R' S' R : [E , R2']]"
LD,,,,,,"[l , S' R' S]",,"[l' , S' R' S]",,,"[u' R' : [S' , R2]]",,"[L F' L' U L' : [E , L2]]","[S L : [E' , L2']]",,"[R2 E' R : [S' , R2']]",,"[S R' : [S , R2]]",,"[E' l' E , R]",,
LB,,,,,,"[R : [E R' E' , l2']]","[S' R' S , l']",,,,"[F2' , L' S L]",,"[R' S' R , B2]","[L' S L : [E' , L2']]",,,,"[l' : [E' l' E , R2]]",,"[R' , S l' S']",,"[R' S' R' : [E' , R2]]"
FU,,,,,,,,,,,,,,,,,,,,,,
FD,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,"[u' R : [S' , R2']]","[L' S L , F2']",,,,,"[F2 , R S' R']","[u L : [S , L2']]",,"[E' , L2']",,"[R2' , E]",,"[R U R' U' R : [E , R2']]",,"[L' U' L U L : [E' , L2']]"
RU,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,"[R2' : [F2 , R S' R']]","[L F' L' U L : [E , L2']]","[B2 , R' S' R]",,,"[R S' R' , F2]",,,"[R : [U' R' U , S]]",,"[R : [S' , R B2 R']]",,,,"[R2 u' : [R' U R , E']]",,"[R U : [S' , R F R']]"
RD,,,,,,"[L S L' : [E' , L2]]","[S L' : [E' , L2]]","[L' S L' : [E' , L2]]",,,"[u L' : [S , L2]]",,"[R : [S , U' R' U]",,,"[L2' E' L' : [S , L2]]",,"[S R : [S' , R2']]",,,,"[L' F2 L , S]"
BU,,,,,,,,,,,,,,,,,,,,,,
BL,,,,,,"[L : [S , L F2' L']]","[R2' E' R' : [S' , R2]]",,,,"[L2' , E']",,"[R2 : [B2 , R' S' R]]","[L2 E' L : [S , L2']]",,,,"[E' , R2']",,"[R U R' U' R' : [E' , R2]]",,"[L U' L' U L : [E' , L2']]"
BD,,,,,,,,,,,,,,,,,,,,,,
BR,,,,,,"[L' : [E L' E' , r2]]","[S R : [S , R2']]","[L' : [E L E' , r2]]",,,"[E , R2']",,,"[S R' : [S' , R2]]",,"[R2' , E']",,,,"[u2' L' : [S , L2]]",,"[R' : [S' , R2]]"
DF,,,,,,,,,,,,,,,,,,,,,,
DR,,,,,,"[S l S' , R']","[R , E' l' E]","[S l' S' , R']",,,"[R U R' U' R' : [E , R2]]",,"[R' : [U' R U , S]]",,,"[R U R' U' R : [E' , R2']]",,"[u2' L : [S , L2']]",,,,"[L F2' L' : [S , L2]]"
DB,,,,,,,,,,,,,,,,,,,,,,
DL,,,,,,"[R' S' R' : [E , R2]]",,"[R' S' R : [E' , R2']]",,,"[L' U' L U L' : [E' , L2]]",,"[R U : [R F R' , S']]","[S , L' F2 L]",,"[L U' L' U L' : [E' , L2]]",,"[R : [S' , R2']]",,"[L F2' L : [S , L2']]",,
