1st Target:,UBL,UBR,UFR,UFL,LUB,LUF,LDF,LDB,FUL,FUR,FDR,FDL,RUF,RUB,RDF,BUR,BUL,BDL,DFL,DFR,DBL
UBL,,,,,,,,,,,,,,,,,,,,,
UBR,,,,,,,,,,,,,,,,,,,,,
UFR,,,,,,,,,,,,,,,,,,,,,
UFL,,,,,,,,,,,,,,,,,,,,,
LUB,,,,,,,,,,,,,,,,,,,,,
LUF,,,,,,,,,,,,,,,,,,,,,
LDF,,,,,,,,"[l' D' U' : [R U R' , D2]]",,,,,,,,,,"[R' U D2 : [R U R' , D']]",,,"[l U l' : [D2' , R B' R' B]]"
LDB,,,,,,,"[l' U' D : [R U R' , D2']]",,,,,"[l' D : [R U' R' , D2']]",,,,,,,"[R D R' U D' : [R U R' , D2]]",,
FUL,,,,,,,,,,,,,,,,,,,,,
FUR,,,,,,,,,,,,,,,,,,,,,
FDR,,,,,,,,,,,,,,,,,,,,,
FDL,,,,,,,,"[l' D' : [R U' R' , D2]]",,,,,,,,,,"[D' R2 D : [U , R' D R]]",,,"[D' R' D , L]"
RUF,,,,,,,,,,,,,,,,,,,,,
RUB,,,,,,,,,,,,,,,,,,,,,
RDF,,,,,,,,,,,,,,,,,,,,,
BUR,,,,,,,,,,,,,,,,,,,,,
BUL,,,,,,,,,,,,,,,,,,,,,
BDL,,,,,,,"[R' U D : [R U R' , D]]",,,,,"[D' R2 D : [R' D R , U]]",,,,,,,"[D' R2 : [U' , R D' R']]",,
DFL,,,,,,,,"[R D R' U D : [R U R' , D2']]",,,,,,,,,,"[D' R' : [D' , R' U' R]]",,,"[l D' l' , B]"
DFR,,,,,,,,,,,,,,,,,,,,,
DBL,,,,,,,"[B : [D2' , B' R B R']]",,,,,"[L , D' R' D]",,,,,,,"[B , l D' l']",,
