1st Target:,UBR,UFR,UFL,LUF,LDF,LDB,FUL,FUR,FDR,FDL,RUF,RUB,RDB,RDF,BUR,BDL,BDR,DFL,DFR,DBR,DBL
UBR,,,,,,,,,,,,,,,,,,,,,
UFR,,,,,,,,,,,,,,,,,,,,,
UFL,,,,,,,,,,,,,,,,,,,,,
LUF,,,,,,,,,,,,,,,,,,,,,
LDF,,,,,,"[D' : [L , U R' U']]",,,"[U' : [R U' R' , D]]",,,,"[D' U' : [R U' R' , D2]]","[U R' D' : [R U R' , D2]]",,"[U D' : [R' U' R , D']]","[R' U2 : [R' D R , U']]",,"[U R' D R : [U' , R D' R']]","[U' R2 : [U' , R' D R]]","[D' R U D : [R' U' R , D2]]"
LDB,,,,,"[D' R' D' : [R D R' , U]]",,,,"[R U : [R D' R' , U2]]","[D2' : [R' U R , D]]",,,"[R D : [R' U R , D2]]","[D : [R' U R , D2']]",,,"[R' U R , D']","[D' U R' : [B2' , R U' R' U]]","[R2' : [U , R D' R']]","[D' R' D : [R D' R' , U]]",
FUL,,,,,,,,,,,,,,,,,,,,,
FUR,,,,,,,,,,,,,,,,,,,,,
FDR,,,,,"[U' : [D , R U' R']]","[R U' : [R D' R' , U2]]",,,,"[U' R D : [R' D' R , U']]",,,"[U : [R' U' R , D]]",,,"[U D' : [R' U' R , D2]]","[D R D' : [R' U R , D2]]","[U R' U D : [R U' R' , D2']]",,"[U' R D' : [R' D R , U']]","[U D R' : [U , R' D R]]"
FDL,,,,,,"[D' : [R' U R , D']]",,,"[U' R D : [U' , R' D' R]]",,,,"[R D : [R' U R , D]]","[D : [R' U R , D]]",,"[D' R D : [R' U R , D2]]","[R' U R , D2]",,"[R2' : [U , R D2 R']]","[D' R2' : [U , R D' R']]","[D2' R' D : [R D' R' , U]]"
RUF,,,,,,,,,,,,,,,,,,,,,
RUB,,,,,,,,,,,,,,,,,,,,,
RDB,,,,,"[U' D : [R U' R' , D2']]","[R D' : [R' U R , D2]]",,,"[U : [D , R' U' R]]","[R D2 : [R' U R , D']]",,,,"[U R' D : [R D' R' , U']]",,"[U : [D' , R' U' R]]",,"[U R' : [U , R' D R]]","[R U R' D' : [R' D' R , U']]",,"[U R' D' : [R D R' , U]]"
RDF,,,,,"[U R' D : [R U R' , D2]]","[D' : [R' U R , D2]]",,,,"[D2 : [R' U R , D']]",,,"[U R' D : [U' , R D' R']]",,,"[R' U : [D' , R' U' R]]","[R' U R , D]","[D R' D : [R D' R' , U]]",,"[U D R' : [B2' , R U' R' U]]","[U2 R : [U' , R D' R']]"
BUR,,,,,,,,,,,,,,,,,,,,,
BDL,,,,,"[U D2' : [R' U' R , D]]",,,,"[U D : [R' U' R , D2']]","[D' R D' : [R' U R , D2]]",,,"[U : [R' U' R , D']]","[R' U : [R' U' R , D']]",,,"[L , U R' U']","[D' U R' D' : [R D R' , U']]","[U D' R' : [U , R' D R]]","[R U D : [R' U' R , D2]]",
BDR,,,,,"[R' U : [R' D R , U]]","[D' , R' U R]",,,"[D R D : [R' U R , D2]]","[D2' , R' U R]",,,,"[D , R' U R]",,"[U R' U' , L]",,"[D R2' : [U , R D' R']]","[R' D : [R D' R' , U]]",,"[U R' : [B2' , R U' R' U]]"
DFL,,,,,,"[D' R' U : [B2' , U' R U R']]",,,"[U R' U D' : [R U' R' , D2]]",,,,"[U R2' : [D , R U R']]","[D R D' , L2']",,"[U D' R' D' : [U' , R D R']]","[D R' : [D' , R' U R]]",,"[R U R2' : [D , R U' R']]","[R U R' U D' : [R U' R' , D2]]","[D R U R' : [U' , R' D R]]"
DFR,,,,,"[U R' D R2 : [D' , R' U' R]]","[R' : [D' , R' U R]]",,,,"[R' : [D2 , R' U R]]",,,"[R U R' D' : [U' , R' D' R]]",,,"[U D' R2' : [D , R U R']]","[R' D : [U , R D' R']]","[R U R' : [U' , R' D R]]",,"[D' R U R2' : [D , R U' R']]","[R U D R' : [U' , R' D R]]"
DBR,,,,,"[R U' : [D , R U' R']]","[D' R' D : [U , R D' R']]",,,"[U' R D' : [U' , R' D R]]","[D' R' : [D' , R' U R]]",,,,"[D R' U : [B2' , U' R U R']]",,"[R D' U : [R' U' R , D2]]",,"[U2 R2' U' R2 : [D , R2' U R2 U' R2']]","[D' R U R' : [U' , R' D R]]",,"[R U D R' : [U , R' D R]]"
DBL,,,,,"[D' R U D' : [R' U' R , D2]]",,,,"[U D R2' : [D , R U R']]","[D' R2 U' : [R D' R' , U2]]",,,"[U R' D' : [U' , R D R']]","[U2 R2 : [D' , R' U' R]]",,,"[R' U : [B2' , U' R U R']]","[D R U R2' : [D , R U' R']]","[R U D R2' : [D , R U' R']]","[R U D R2' : [D , R U R']]",
