,UBR,FDR,FDL,RUB,RDB,RDF,BUR,BDL,BDR,LDF,LDB,DFL,DFR,DBR,DBL
UBR,,"D: R D R', U","D': R D' R', U",,"R D R', U","U: R' D' R, U",,"D': R D R', U","D R D' R', U","U: R' D R, U","R D' R', U","R D R': R' U R, D'","R' D R: R D' R', U","R D' R' U R' D R, U","U: U' R U R', B2"
FDR,"D: U, R D R'",,"U' R D: R' D' R, U'",R: U'/R D R',"D', R U2 R'",,"D' R': U2, R' D R",U: D'/R' U' R,D R: D'/R' U R,"D, R U2 R'",R: U'/R D' R',U R' U: D/R U' R',,"U' R D': R' D R, U'","U D R': U, R' D R"
FDL,"D': U, R D' R'","U' R D: U', R' D' R",,"U D' R U': D', R' U R","R D: R' U R, D","D: R' U R, D",R' D': U/R D' R',D' R: D/R' U R,"R' U R, D2",,"D': R' U R, D'",,"R': R' U R, D2","D' R': R' U R, D'",D' R2: U/R D' R'
RUB,,R: U/R D R',"U D' R U': R' U R, D'",,"U R U': R' U R, D","R' U R: D', R U' R'",,"R U: D', R' U' R","U D R U': R' U R, D'","D' R U: D', R' U' R","U R U': R' U R, D'","U R' U: D, R U' R'","D R U: D, R' U' R","R U: D, R' U' R","D' R U: D, R' U' R"
RDB,"U, R D R'","R U2 R', D'","R D2: R' U R, D'","U R U': D, R' U R",,"U R U': D, R' U' R",D R' D': U/R D R',"U: D', R' U' R",,U': D/R U' R',R: D'/R' U R,"U R': U, R' D R","R U R' D': R' D' R, U'",,"U R': U, R' D2 R"
RDF,"U2: R' D' R, U'",,"D2: R' U R, D'","R' U R: R U' R', D'","U R U': R' U' R, D",,R': U/R D R',"U R' D2: R U R', D","R' U R, D",U R': D/R U R',D'/R' U R,"F': R' D' R, U2",,"R U' D' R': R' D R, U'","D2 R': R' U R, D'"
BUR,,"D' R': R' D R, U2",R' D': U'/R D' R',,D R' D': U'/R D R',R': U'/R D R',,R' D': U'/R D R',D R': U'/R D' R',"R': R' D R, U2",R': U'/R D' R',D R' D: U'/R D' R',R' D: U'/R D' R',"D R D': B2, D R' D' R","R D': B2, D R' D' R"
BDL,"D': U, R D R'",U: D/R' U' R,D' R: D'/R' U R,"R U: R' U' R, D'","U: R' U' R, D'","U R' D': R U R', D'",R' D': U/R D R',,"L, U R' U'","U' D: R U' R', D",,"U D R' D R: U', R D' R'","U D' R': U, R' D R",R U: D/R' U' R,
BDR,"D: U, R D' R'",D R: D/R' U R,"D2, R' U R","U D R U': D', R' U R",,"D, R' U R",D R': U/R D' R',"U R' U', L",,"R' U: R' D R, U","D', R' U R","D R': R' U R, D'","R' D: R D' R', U",,"U R': B2, R U' R' U"
LDF,"U: U, R' D R","R U2 R', D",,"D' R U: R' U' R, D'",U': D'/R U' R',U R': D'/R U R',"R': U2, R' D R","U' D2: R U' R', D'","R' U2: R' D R, U'",,"D' R' D': U, R D R'",,R' D R: U'/R D' R',"U' R: R U' R', D",D' R U: D/R' U' R
LDB,"U, R D' R'",R: U/R D' R',"D2: R' U R, D","U R U': D', R' U R",R: D/R' U R,D/R' U R,R': U/R D' R',,"R' U R, D'","D' R' D': R D R', U",,"U D' R': B2, R U' R' U","R': R' U R, D'","R D' R' U: R' D R, U",
DFL,"R D R': D', R' U R",U R' U: D'/R U' R',,"U R' U: R U' R', D","U R': R' D R, U","F': U2, R' D' R",D R' D: U/R D' R',"U D R' D R: R D' R', U'","D R': D', R' U R",,"D' R' U: B2, U' R U R'",,"R U R': R' D R, U'","D' R U D R': R' D R, U'","D R U R': U', R' D R"
DFR,"R' D R: U, R D' R'",,"R': D2, R' U R","D R U: R' U' R, D","R U R' D': U', R' D' R",,R' D: U/R D' R',"U D' R': R' D R, U","R' D: U, R D' R'",R' D R: U/R D' R',"R': D', R' U R","R U R': U', R' D R",,"D' R U R': R' D R, U'","R U D R': U', R' D R"
DBR,"U, R D' R' U R' D R","U' R D': U', R' D R","D' R': D', R' U R","R U: R' U' R, D",,"R U' D' R': U', R' D R","R: B2, R' D R D'",R U: D'/R' U' R,,"U' R: D, R U' R'","R D' R' U2: R' D R, U'","D' R U D R': U', R' D R","D' R U R': U', R' D R",,"R U D R': U, R' D R"
DBL,"U: B2, U' R U R'","U D R': R' D R, U",D' R2: U'/R D' R',"D' R U: R' U' R, D","U R': R' D2 R, U","D2 R': D', R' U R","D' R: B2, R' D R D'",,"R' U: B2, U' R U R'",D' R U: D'/R' U' R,,"D R U R': R' D R, U'","R U D R': R' D R, U'","R U D R': R' D R, U",
