1st Target:,UB,UR,UF,UL,LU,LF,LD,LB,FU,FR,FD,FL,RU,RB,RD,RF,BU,BL,BR,DF,DR,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,,,,,
LF,,,,,,,"[L2' : [U M U' , L]]","[M U L' : [S' , L2]]",,"[R' D' R , E]",,,,"[R2' B : [E , R2]]","[M U R : [E , R2']]","[r' U R : [E , R2']]",,"[L : [S , L B' L']]","[r2' : [R U' R' , E]]",,"[D' , R E R']","[D' : [R E R' , D']]"
LD,,,,,,"[L' : [U M U' , L']]",,"[L : [U M U' , L]]",,"[l' : [E' , L D' L']]",,"[M u' L : [E' , L2']]",,"[M U' L' : [E , L2]]","[M U' : [L2 , S]]","[M U' L : [E' , L2']]",,"[M U' E' L' : [E , L2]]","[r : [R F' R' , S']]",,"[S , L B' L']",
LB,,,,,,"[M U L : [S' , L2']]","[L2' : [U M U' , L']]",,,"[l2 : [E' , l' U' l]]",,"[L' S' L , B']",,"[r' : [U , r' E2 r]]","[M U R' : [E' , R2]]","[r' U R' : [E' , R2]]",,,"[E , l U' l']",,"[D' , R' E' R]","[D' : [R' E' R , D']]"
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,,,,"[E , R' D' R]","[M' : [D' , L' E' L]]","[l : [U' , l E' l']]",,,,"[M u' R' : [S , R2]]",,"[B , R S R']","[M u R : [E , R2']]",,,"[R D' R' : [E' , R2]]","[D R' : [S' , R2]]",,"[M : [U S U' , R']]","[M2 U L' : [E' , L2]]"
FD,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,"[M u' L' : [E' , L2]]","[B' , L' S' L]]",,"[M u L : [S' , L2']]",,,,"[r' : [U , r' E r]]","[M' : [D , R E R']]","[E' , L D L']",,"[D' L : [S , L2']]","[R' D' R' : [E , R2]]",,"[M2 U' R : [E , R2']]","[M : [U' S' U , L]]"
RU,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,"[l U' L : [E , L2']]","[M U' L : [E , L2']]","[r2' : [E2 , r U r']]",,"[R S R' , B]",,"[r2' : [E , r U r']]",,,"[R2 : [U' M U , R]]","[M U' R' : [S , R2]]",,"[E' , r' U r]",,,"[D : [L E L' , D]]","[D , L E L']"
RD,,,,,,"[M U R' : [E , R2]]","[M U : [R2' , S']]","[M U R : [E' , R2']]",,"[M u R' : [E , R2]]",,"[r : [E , R' D R]]",,"[R' : [U' M U , R']]",,"[R : [U' M U , R]]",,"[l' : [L' F L , S]]","[M U E R : [E' , R2']]",,,"[S' , R' B R]"
RF,,,,,,"[r' U R' : [E , R2]]","[M U' L' : [E' , L2]]","[r' U R : [E' , R2']]",,,,"[L D L' , E']",,"[M U' R : [S , R2']]","[R2 : [U' M U , R']]",,,"[R2 : [E' , r' U r]]","[R' : [S , R' B R]]",,"[D : [L' E' L , D]]","[D , L' E' L]"
BU,,,,,,,,,,,,,,,,,,,,,,
BL,,,,,,"[L2 : [B' , L' S' L]]","[M U' E' L : [E , L2']]",,,"[R D' R : [E' , R2']]",,"[D' L' : [S , L2]]",,"[r' U r , E']]","[l' : [S , L' F L]]","[L2' : [E' , L D L']]",,,"[R' D' R : [E' , R2']]",,"[M2 U' R' : [E' , R2]]","[M : [U' S' U , L']]"
BR,,,,,,"[R2 : [E , R' D' R]]","[r : [S' , R F' R']]","[l U' l' , E]",,"[D R : [S' , R2']]",,"[R' D' R : [E , R2']]",,,"[M U E R : [E' , R2']]","[R2' : [B , R S R']]",,"[R' D' R' : [E' , R2]]",,,"[M : [U S U' , R]]","[M2 U L : [E , L2']]"
DF,,,,,,,,,,,,,,,,,,,,,,
DR,,,,,,"[R E R' , D']","[L B' L' , S]","[R' E' R , D']",,"[r' : [U S U' , R]]",,"[M2 U' R' : [E , R2]]",,"[D2 : [L E L' , D']]",,"[D2 : [L' E' L , D']]",,"[M2 U' R : [E' , R2']]","[R' : [U M2 U' , R']]",,,"[D L2 D' : [S , L2']]"
DL,,,,,,"[D2' : [R E R' , D]]",,"[D2' : [R' E' R , D]]",,"[M2 U L : [E' , L2']]",,"[l : [U' S U , L']]",,"[L E L' , D]","[R' B R , S']","[L' E' L , D]",,"[L : [U' M2 U , L]]","[M2 U L' : [E , L2]]",,"[D' R2' D : [S' , R2]]",
