1st Target:,UB,UR,UF,UL,LU,LF,LD,LB,FU,FR,FD,FL,RU,RB,RF,BU,BL,BD,BR,DF,DB,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
UL,,,,,,,,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,,,,,,
LD,,,,,,,,"[E' r' E , L]",,,,,,"[L E L : [S , L2']]",,,"[R' E' R : [S' , R2']]",,"[r' , E L E']",,,
LB,,,,,,,"[l , E' R' E]",,,,,,,"[u' L : [S , L2']]",,,,,"[S l' S' , R]",,,"[S' R' : [E' , R2]]"
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,,,,,,,,,,,,,,,,,,,,
FD,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,
RU,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,"[L E L' : [S , L2]]","[u' L' : [S , L2]]",,,,,,,,,"[L' S L' : [E , L2]]",,,,,"[S L' : [E , L2]]"
RF,,,,,,,,,,,,,,,,,,,,,,
BU,,,,,,,,,,,,,,,,,,,,,,
BL,,,,,,,"[R' E' R' : [S' , R2]]",,,,,,,"[L' S L : [E , L2']]",,,,,"[R' U R U' R : [E' , R2']]",,,"[R B2 R' : [S' , R2]]"
BD,,,,,,,,,,,,,,,,,,,,,,
BR,,,,,,,"[E l E' , R']","[r , S L' S']",,,,,,,,,"[R' U R U' R' : [E' , R2]]",,,,,"[L' B2' L' : [S , L2]]"
DF,,,,,,,,,,,,,,,,,,,,,,
DB,,,,,,,,,,,,,,,,,,,,,,
DL,,,,,,,,"[S' R : [E' , R2']]",,,,,,"[S L : [E , L2']]",,,"[R B2 R : [S' , R2']]",,"[L' B2' L : [S , L2']]",,,
,,,,,,,,,,,,,,,,,,,,,,
,24 Comms,,,,,,,,,,,,,,,,,,,,,
