1st Target:,UBR,UFR,UFL,LUF,LDF,LDB,FUL,FUR,FDR,FDL,RUF,RUB,RDB,RDF,BUR,BDL,BDR,DFL,DFR,DBR,DBL
UBR,,,,,,,,,,,,,,,,,,,,,
UFR,,,,,,,,,,,,,,,,,,,,,
UFL,,,,,"[U' : [R' D R , U']]","[U2 : [R D' R' , U']]",,,"[D' U' : [R' D R , U']]","[D U' : [R' D' R , U']]",,,"[U2 : [R D R' , U']]","[U' : [R' D' R , U']]",,"[D' U2 : [R D R' , U']]","[D U2 : [R D' R' , U']]","[U L' : [F R' F' , L2]]","[R' D U2 : [R D' R' , U']]","[R D' U' : [R' D R , U']]","[U' R' D' R2 : [U' , R' D R]]"
LUF,,,,,"[U' R U : [R' D R , U2]]","[U' R2 : [D' , R' U2 R]]",,,"[U R' U : [R D R' , U2]]","[U' R U D : [R' D' R , U2]]",,,"[U' R U : [R' D' R , U2]]","[U R' U D : [R D' R' , U2]]",,"[U R' U : [R D' R' , U2]]","[D U' R2 : [D' , R' U2 R]]","[U R' : [U2 , R' D R]]","[U D' R' : [U2 , R' D R]]","[R U R' U : [R D R' , U2]]","[U D R' : [U2 , R' D R]]"
LDF,,,"[U2 : [R' D R , U]]","[U' R U' : [R' D R , U2]]",,"[D' : [L , U R' U']]","[U2 R' U : [D , R U' R']]",,"[U' : [R U' R' , D]]",,,,"[D' U' : [R U' R' , D2]]","[U R' D' : [R U R' , D2]]",,"[U D' : [R' U' R , D']]","[R' U2 : [R' D R , U']]",,"[U R' D R : [U' , R D' R']]","[U' R2 : [U' , R' D R]]","[D' R U D : [R' U' R , D2]]"
LDB,,,"[U : [R D' R' , U]]","[U' R : [U2 , R D' R']]","[D' R' D' : [R D R' , U]]",,"[U R U : [D' , R' U' R]]",,"[R U : [R D' R' , U2]]","[D2' : [R' U R , D]]",,,"[R D : [R' U R , D2]]","[D : [R' U R , D2']]",,,"[R' U R , D']","[D' U R' : [B2' , R U' R' U]]","[R2' : [U , R D' R']]","[D' R' D : [R D' R' , U]]",
FUL,,,,,"[U2 R' U : [R U' R' , D]]","[U R U : [R' U' R , D']]",,,"[U D R U : [R' U' R , D]]","[U' R' U' : [D , R U R']]",,,"[U R U : [R' U' R , D]]","[R U' R' : [U' , R' D' R]]",,"[D' U R U : [R' U' R , D]]","[L' , U R' U']","[D U' R' U' : [D' , R U R']]","[U' R' U' : [D' , R U R']]","[U' D' R' U' : [D' , R U R']]","[U2 R U' : [D' , R' U R]]"
FUR,,,,,,,,,,,,,,,,,,,,,
FDR,,,"[D' U2 : [R' D R , U]]","[U R' U' : [R D R' , U2]]","[U' : [D , R U' R']]","[R U' : [R D' R' , U2]]","[U D R U : [D , R' U' R]]",,,"[U' R D : [R' D' R , U']]",,,"[U : [R' U' R , D]]",,,"[U D' : [R' U' R , D2]]","[D R D' : [R' U R , D2]]","[U R' U D : [R U' R' , D2']]",,"[U' R D' : [R' D R , U']]","[U D R' : [U , R' D R]]"
FDL,,,"[D U2 : [R' D' R , U]]","[U' R U' D : [R' D' R , U2]]",,"[D' : [R' U R , D']]","[U' R' U' : [R U R' , D]]",,"[U' R D : [U' , R' D' R]]",,,,"[R D : [R' U R , D]]","[D : [R' U R , D]]",,"[D' R D : [R' U R , D2]]","[R' U R , D2]",,"[R2' : [U , R D2 R']]","[D' R2' : [U , R D' R']]","[D2' R' D : [R D' R' , U]]"
RUF,,,,,,,,,,,,,,,,,,,,,
RUB,,,,,,,,,,,,,,,,,,,,,
RDB,,,"[U : [R D R' , U]]","[U' R U' : [R' D' R , U2]]","[U' D : [R U' R' , D2']]","[R D' : [R' U R , D2]]","[U R U : [D , R' U' R]]",,"[U : [D , R' U' R]]","[R D2 : [R' U R , D']]",,,,"[U R' D : [R D' R' , U']]",,"[U : [D' , R' U' R]]",,"[U R' : [U , R' D R]]","[R U R' D' : [R' D' R , U']]",,"[U R' D' : [R D R' , U]]"
RDF,,,"[U2 : [R' D' R , U]]","[U R' D U' : [R D' R' , U2]]","[U R' D : [R U R' , D2]]","[D' : [R' U R , D2]]","[R U' R2' : [D' , R U' R']]",,,"[D2 : [R' U R , D']]",,,"[U R' D : [U' , R D' R']]",,,"[R' U : [D' , R' U' R]]","[R' U R , D]","[D R' D : [R D' R' , U]]",,"[U D R' : [B2' , R U' R' U]]","[U2 R : [U' , R D' R']]"
BUR,,,,,,,,,,,,,,,,,,,,,
BDL,,,"[D' U : [R D R' , U]]","[U R' U' : [R D' R' , U2]]","[U D2' : [R' U' R , D]]",,"[D' U R U : [D , R' U' R]]",,"[U D : [R' U' R , D2']]","[D' R D' : [R' U R , D2]]",,,"[U : [R' U' R , D']]","[R' U : [R' U' R , D']]",,,"[L , U R' U']","[D' U R' D' : [R D R' , U']]","[U D' R' : [U , R' D R]]","[R U D : [R' U' R , D2]]",
BDR,,,"[D U : [R D' R' , U]]","[D U' R : [U2 , R D' R']]","[R' U : [R' D R , U]]","[D' , R' U R]","[U R' U' , L']",,"[D R D : [R' U R , D2]]","[D2' , R' U R]",,,,"[D , R' U R]",,"[U R' U' , L]",,"[D R2' : [U , R D' R']]","[R' D : [R D' R' , U]]",,"[U R' : [B2' , R U' R' U]]"
DFL,,,"[U R D R2' : [U , R D' R']]","[U R2' : [D , R U2 R']]",,"[D' R' U : [B2' , U' R U R']]","[D U' R' U' : [R U R' , D']]",,"[U R' U D' : [R U' R' , D2]]",,,,"[U R2' : [D , R U R']]","[D R D' , L2']",,"[U D' R' D' : [U' , R D R']]","[D R' : [D' , R' U R]]",,"[R U R2' : [D , R U' R']]","[R U R' U D' : [R U' R' , D2]]","[D R U R' : [U' , R' D R]]"
