1st Target:,UB,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,"[R2 U' : [R2' , S]]","[L2' U : [L2 , S']]","[U M' U : [M , U2']]","[U : [R' E R , U2]]","[U' : [L' E' L , U2']]","[U : [R E' R' , U2]]","[R' U' : [R2' , S]]","[R' F' : [E , R U R']]","[L U : [L2' , S']]","[U' M' U' : [M , U2]]","[U' : [L' E L , U2']]","[U : [R E R' , U2]]","[U' : [L E' L' , U2']]",,"[L' U : [L2 , S']]","[U R' B R : [S , R2']]","[R U' : [R2' , S]]","[M' , U2]","[U' : [R2' , S]]","[U2 , M]","[U : [L2 , S']]"
UR,"[R2 U' : [S , R2']]",,"[M2 U' : [M , U2]]","[L F' L' , S']","[R' E R , U']","[U2' : [L' E' L , U']]","[R E' R' , U']","[E' : [R' E R , U']]","[R : [U' R' U , M']]","[R E2 R' , U']",,"[U2' : [L' E L , U']]","[R E R' , U']","[U2' : [L E' L' , U']]","[R : [U' R' U , M]]","[R' E2 R , U']",(M U' M' U') * 2,"[E : [R E' R' , U']]","[L F' : [L' S' L , F2']]","[R U R' : [S , R2]]","[R : [U' R' U , M2]]",L U L' U' L' U' L' U L U
UL,"[L2' U : [S' , L2]]","[M2 U : [M , U2']]",,,"[U2 : [R' E R , U]]","[L' E' L , U]","[U2 : [R E' R' , U]]","[L' E2' L , U]","[L' : [U L U' , M']]","[E : [L E' L' , U]]","[R' F R , S]","[L' E L , U]","[U2 : [R E R' , U]]","[L E' L' , U]","[L' : [U L U' , M]]","[E' : [L' E L , U]]",(M U M' U) * 2,"[L E2' L' , U]","[R' F : [R S R' , F2]]",R' U R U R U R' U' R' U'  ,D' R' U' R U R U R U' R' U' D,"[L' U' L : [S' , L2']]"
LU,"[U' M U' : [M' , U2]]","[S' , L F' L']",,,"[S : [R' E R , U']]","[l' U L : [S' , L2']]","[S : [R E' R' , U']]","[L : [E' , l' U' l]]","[l' : [U' L U , M']]","[r' F' : [r S r' , F']]","[M U' : [M' , U2]]","[F R' : [S , R2]]","[R' F R' : [S , R2]]","[R M U' : [M' , U2]]","[l' : [U' L U , M]]","[U' R F : [E' , R2']]",[M2 : (U' M U' M') * 2],"[l' : [E , L U' L']]","[L' F' : [E' , L2]]","[L2 : [S , L' F' L]]","[l' : [U' L U , M2]]","[S , L F' L']"
LF,"[U' : [R' E R , U2]]","[U' , R' E R]","[U' : [R' E R , U']]","[S : [U' , R' E R]]",,"[U S' U' , L]","[E' R U' R' : [E' , R2]]","[R U' R' , E]","[M' : [U' L' U , M']]",,"[M L' U' : [M' , U2']]","[r U R : [E , R2']]","[M' U R : [E , R2']]","[U' E' L : [S' , L2']]","[M' , U' L' U]","[L U L' , E']","[U' r' : [E , R U R']]","[R' : [U' , R' E R]]","[U R' F' : [R S R' , F']]","[U' E' R' : [E' , R2]]","[M' : [U' L' U , M2]]","[U E L' : [E' , L2]]"
LD,"[U : [L' E' L , U2']]","[U : [L' E' L , U]]","[U , L' E' L]","[l' U L' : [S' , L2]]","[L , U S' U']",,"[L' , U S' U']","[D : [M' , U' R U]]","[l : [D' L' D , M']]","[L f' L : [S , L2']]","[L F' L' : [S' , L2]]","[F R : [S' , R2']]","[L F' L : [S , L2']]","[M' U' L : [E' , L2']]","[l' : [U' L' U , M]]","[S' U' R : [E' , R2']]","[U l : [E , L' U' L]]","[L E2' : [L' U L , E']]","[L F : [L2' , E']]","[S , L' F' L]","[U : [L B' L' , S']]",
LB,"[U' : [R E' R' , U2]]","[U' , R E' R']","[U' : [R E' R' , U']]","[S : [U' , R E' R']]","[M' U L : [S' , L2']]","[U S U' , L']",,"[R : [U' , R E' R']]","[M' : [U' L U , M']]","[L' U L , E]","[R F : [E' , R2']]","[u R' : [S , R2]]","[R' F : [E' , R2]]","[E' R U' R' : [E , R2]]","[M' , U' L U]",,"[U' M : [r E' r' , U]]","[R' U' R , E']","[l' U : [L2 , S']]","[u' R : [E , R2']]","[M' : [U' L U , M2]]","[u L : [E , L2']]"
FR,"[R' U' : [S , R2']]","[E' : [U' , R' E R]]","[U , L' E2' L]","[M' : [U' , l E' l']]","[E , R U' R']","[L' E' : [L U L' , E']]","[R2 : [E' , R' U' R]]",,"[U' R U , M']","[R' U' R' : [E , R2]]","[R' U' E' R' : [E , R2]]","[E' , R U' R']","[R' f R : [S' , R2']]",,"[U' R U , M]","[R' U' R : [E' , R2']]","[U L B' : [L2' , E']]","[U R : [S , R2']]","[U R U' : [M' , U2]]",U2 R U' R' U' R' U' R U R U',"[U' R U , M2]","[U L' : [E' , L2]]"
FD,"[R' F' : [R U R' , E]]","[r : [U' R' U , M]]","[l' : [U L U' , M]]","[l' : [M' , U' L U]]","[M2 : [U' L' U , M]]","[U : [L F L' , S]]","[U' M' : [U' , R E' R']]","[M' , U' R U]",,"[M' , U L' U']","[r : [M' , U R' U']]","[M2 : [U R' U' , M]]","[U' : [R' F' R , S']]","[M2 : [U R U' , M]]","[U' : [R' F' R , S]]","[M' , U L U']","[U : [M U M' , d2]]","[M' , U' R' U]",,"[U R' F' R : [S , R2']]","[D : [S' , R F R']]","[U' L F L' : [S' , L2]]"
FL,"[L U : [S' , L2']]","[U' , R E2 R']","[E : [U , L E' L']]","[r' F2 : [r S r' , F]]",,"[L f' L' : [S , L2]]","[E , L' U L]","[R' U' R : [E , R2']]","[U L' U' , M']",,"[M' : [U , r' E r]]","[L2' : [E , L U L']]","[R E : [R' U' R , E]]","[E' , L' U L]","[U L' U' , M]","[U' L' : [S' , L2]]","[U' R' B : [R2 , E]]","[R U' R : [E , R2']]","[U' L' U : [M' , U2']]","[U' R : [E , R2']]","[U L' U' , M2]",U2' L' U L U L U L' U' L' U
