1st Target:,UBL (A),UBR (B),UFR,LUB (J),LDF (G),LDB (H),FUR,FDR (K),FDL (L),RUF,RUB,RDB (O),RDF (P),BUR,BUL (M),BDL (S),BDR (T),DFL (C),DFR (V),DBR (W),DBL (Z)
UBL,,,,,"[U2 : [R' D R , U]]","[U : [R D' R' , U]]",,"[D' U2 : [R' D R , U]]","[D U2 : [R' D' R , U]]",,,"[U : [R D R' , U]]","[U2 : [R' D' R , U]]",,,"[D' U : [R D R' , U]]","[D U : [R D' R' , U]]","[U R D R2' : [U , R D' R']]","[R' U D : [R D' R' , U]]","[R D' U2 : [R' D R , U]]","[U' R' D' R : [D , R U' R']]"
UBR,,,,,,,,,,,,,,,,,,,,,
UFR,,,,,,,,,,,,,,,,,,,,,
LUB,,,,,"[U R2' : [D , R U2 R']]","[U R' U' : [R D' R' , U2]]",,"[D' U R2' : [D , R U2 R']]","[U' R U' : [R' D R , U2]]",,,"[R U R' U' : [R D R' , U2]]","[U R' U' : [R D R' , U2]]",,,"[U D R2' : [D , R U2 R']]","[U' R U' : [R' D' R , U2]]","[U' R U' D : [R' D' R , U2]]","[U R' D U' : [R D' R' , U2]]","[D U' R : [U2 , R D' R']]","[U' R : [U2 , R D' R']]"
LDF,"[U' : [R' D R , U']]",,,"[U R' : [U2 , R' D R]]",,"[U' R' D : [F' , D' R D R']]",,"[R U' R' , D]",,,,"[D' : [R U' R' , D2]]","[R' D' : [R U' R' , D2]]",,"[U' R' U' : [D , R U R']]","[D2 : [R U' R' , D']]","[R' U' : [R' D R , U2]]",,"[D R D' : [R' D R , U']]","[R2 : [U' , R' D R]]","[D U' R : [F2 , R' U R U']]"
LDB,"[U2 : [R D' R' , U']]",,,"[U R' U : [R D' R' , U2]]","[D R D : [U' , R' D' R]]",,,"[R U2 : [R D' R' , U2]]","[D U' : [R U R' , D]]",,,"[R U D : [R' U R , D2]]","[U D : [R' U R , D2']]",,"[U2 R U' : [D' , R' U R]]",,"[U : [R' U R , D']]","[D L' : [F2 , L U' L' U]]","[U R2' : [U , R D' R']]","[U D' R' D : [R D' R' , U]]",
FUR,,,,,,,,,,,,,,,,,,,,,
FDR,"[D' U' : [R' D R , U']]",,,"[U D' R' : [U2 , R' D R]]","[D , R U' R']","[R U' : [R D' R' , U']]",,,"[R D : [R' D' R , U']]",,,"[D' , R U' R']",,,"[R U' R' : [U' , R' D' R]]","[D2 , R U' R']","[D' R' D' : [R U' R' , D2]]","[U' R : [F2' , R' U R U']]",,"[R D' : [R' D R , U']]","[U' R U , L2']"
FDL,"[D U' : [R' D' R , U']]",,,"[U' R U : [R' D R , U2]]",,"[U' D2 : [R U R' , D']]",,"[R D : [U' , R' D' R]]",,,,"[R U' : [R U R' , D]]","[U' : [R U R' , D]]",,"[D U' R' U' : [D' , R U R']]","[D R' D : [R U' R' , D2]]","[D' U' : [R U R' , D2]]",,"[R' U' D' : [R U R' , D2]]","[U' D R : [U' , R D' R']]","[D U' R D : [R' D' R , U]]"
RUF,,,,,,,,,,,,,,,,,,,,,
RUB,,,,,,,,,,,,,,,,,,,,,
RDB,"[U2 : [R D R' , U']]",,,"[R U R' U : [R D R' , U2]]","[D : [R U' R' , D2']]","[R D' U : [R' U R , D2]]",,"[R U' R' , D']","[R U' : [D , R U R']]",,,,"[U' R D' : [U , R' D R]]",,"[L' , U R' U']","[D2' : [R U' R' , D]]",,"[D' : [U' R U , L2']]","[D' U' R : [F2' , R' U R U']]",,"[L2 , D' R' D]"
RDF,"[U' : [R' D' R , U']]",,,"[U R' U : [R D R' , U2]]","[R' D : [R U' R' , D2]]","[D' U : [R' U R , D2]]",,,"[U' : [D , R U R']]",,,"[U' R D' : [R' D R , U]]",,,"[U' R' U' : [D' , R U R']]",[R' D2 : [R U' R']],"[U' : [D' , R U R']]","[U' R D : [R' D' R , U]]",,"[D' R' D' U' : [R U R' , D2]]","[U' R : [U' , R D' R']]"
BUR,,,,,,,,,,,,,,,,,,,,,,
BUL,,,,,"[U' R' U' : [R U R' , D]]","[U2 R U' : [R' U R , D']]",,"[R U' R2' : [D' , R U' R']]","[D U' R' U' : [R U R' , D']]",,,"[U R' U' , L']","[U' R' U' : [R U R' , D']]",,,"[U R U : [D' , R' U' R]]","[U' F : [R U R' , D']]","[U2 : [R , U' L2' U]]","[U D R U : [D , R' U' R]]","[U R U : [D , R' U' R]]","[D' U R U : [D , R' U' R]]"
BDL,"[D' U2 : [R D R' , U']]",,,"[U D R' : [U2 , R' D R]]","[D : [R U' R' , D]]",,,"[R U' R' , D2']","[D R' D' : [R U' R' , D2]]",,,"[D' : [R U' R' , D']]","[R' D' : [R U' R' , D']]",,"[U R U : [R' U' R , D']]",,"[U : [L , U R' U']]","[D' : [L2 , D' R' D]]","[D R2 : [U' , R' D R]]","[R2 : [U' , R' D2' R]]",
BDR,"[D U2 : [R D' R' , U']]",,,"[U' R U : [R' D' R , U2]]","[R' U : [R' D R , U2]]","[U : [D' , R' U R]]",,"[D' R' D : [R U' R' , D2]]","[D U' : [R U R' , D2']]",,,,"[U' : [R U R' , D']]",,"[U' D' R' U' : [D' , R U R']]","[U2 : [R' , U' L U]]",,"[D' U' R : [U' , R D' R']]","[U R' D : [R D' R' , U]]",,"[U' R U' D' : [R' U R , D2]]"
DFL,"[U L' : [F R' F' , L2]]",,,"[U' R U D : [R' D' R , U2]]",,"[D R' U' D : [R U R' , D2']]",,"[R U' : [F2' , U R' U' R]]",,,,"[D' : [L2' , U' R U]]","[U' R D : [U , R' D' R]]",,"[U2 R' U : [R U' R' , D]]","[D2' : [R' , D L2 D']]","[U' D' R2 : [D' , R' U' R]]",,"[R D R' : [F2 , R D' R' D]]","[R' U' D' R2 : [D' , R' U R]]","[D' R' U' R2 : [D' , R' U R]]"
DFR,"[R' D U2 : [R D' R' , U']]",,,"[U R' U D : [R D' R' , U2]]","[D R D' : [U' , R' D R]]","[R' U : [D' , R' U R]]",,,"[R' D U' : [R U R' , D2]]",,,"[D' R U' : [F2' , U R' U' R]]",,,"[U D R U : [R' U' R , D]]","[D R : [D , R U' R']]","[U R' D : [U , R D' R']]","[D : [F2 , D' R D R']]",,"[D R' U' R : [U , R D' R']]","[U2 R2' U R2 : [D' , R2' U' R2 U R2']]"
DBR,"[R D' U' : [R' D R , U']]",,,"[D U' R2 : [D' , R' U2 R]]","[R : [D , R U' R']]","[U D' R' D : [U , R D' R']]",,"[R D' : [U' , R' D R]]","[D U' R2 : [D' , R' U' R]]",,,,"[D' R' D U' : [R U R' , D2]]",,"[U R U : [R' U' R , D]]","[R : [D2 , R U' R']]",,"[R' U' D' R : [U , R D' R']]","[D R' U' R2 : [D' , R' U R]]",,"[R' U' R : [U , R D' R']]"
DBL,"[U' R' D' R2 : [U' , R' D R]]",,,"[U' R2 : [D' , R' U2 R]]","[D R U' : [F2' , U R' U' R]]",,,"[L2' , U' R U]","[D U' R D : [U , R' D' R]]",,,"[D' R' D , L2']","[U' R2 : [D' , R' U' R]]",,"[D' U R U : [R' U' R , D]]",,"[U' R D U' : [R' U R , D2]]","[D' R' U' R : [U , R D' R']]","[U' R2' : [D' , R2 U' R2' U R2]]","[R' U' R2 : [D' , R' U R]]",
